'Observatory-East Darrenport                                 ','Clear','Good',0.040,'First Quarter',125.94,'High','Quiet','17.2762 ',37.60,21.500,26.70,1028.0
'Observatory-Pearsonstad                                     ','Clear','Poor',0.250,'Full',100.56,'Low','Quiet','17.5804 ',-16.90,67.700,22.00,1022.3
'Observatory-New Lindastad                                   ','Cloudy','Good',0.210,'Last Quarter',98.09,'High','Storm','10.9481 ',-12.50,25.700,4.40,1011.0
'Observatory-Port Vanessastad                                ','Partially Cloudy','Excellent',0.280,'Full',69.60,'Moderate','Quiet','19.6423 ',-3.30,61.700,23.80,1008.5
'Observatory-Oliviachester                                   ','Partially Cloudy','Excellent',0.470,'Last Quarter',108.11,'Moderate','Quiet','2.1064  ',11.80,34.800,6.70,984.6
'Observatory-Port Carrie                                     ','Cloudy','Good',0.690,'New',30.18,'Low','Storm','18.2093 ',-19.60,70.700,24.50,1019.5
'Observatory-Port Courtneyborough                            ','Clear','Poor',0.700,'First Quarter',156.24,'Low','Active','21.4975 ',14.50,34.700,27.70,991.7
'Observatory-Fisherhaven                                     ','Partially Cloudy','Poor',0.570,'New',170.25,'High','Storm','14.7103 ',-19.40,67.100,18.00,1021.6
'Observatory-Port Lisamouth                                  ','Partially Cloudy','Poor',0.750,'Full',23.22,'Moderate','Active','5.0423  ',25.60,44.200,29.00,991.6
'Observatory-Morseburgh                                      ','Partially Cloudy','Excellent',0.670,'First Quarter',37.57,'High','Active','1.465   ',13.30,56.800,21.90,986.3
'Observatory-South Seanshire                                 ','Cloudy','Poor',0.660,'Full',113.35,'Moderate','Quiet','13.0197 ',6.30,94.600,3.40,1021.8
'Observatory-Tashafurt                                       ','Partially Cloudy','Excellent',0.820,'Full',46.75,'High','Storm','2.359   ',-5.00,80.300,19.80,981.9
'Observatory-West Heidi                                      ','Clear','Good',0.950,'Full',160.64,'Low','Quiet','9.5095  ',31.40,32.900,17.10,991.3
'Observatory-Marychester                                     ','Partially Cloudy','Poor',0.750,'First Quarter',62.51,'Moderate','Quiet','17.4286 ',25.60,6.400,5.40,1000.7
'Observatory-Port Lisatown                                   ','Clear','Good',0.720,'New',68.51,'Moderate','Active','19.5128 ',18.70,79.400,17.40,1018.2
'Observatory-Michelleberg                                    ','Cloudy','Excellent',0.020,'Last Quarter',151.05,'Moderate','Storm','11.9615 ',-16.50,21.300,14.70,1013.8
'Observatory-Sullivanmouth                                   ','Clear','Good',0.970,'New',100.08,'Low','Storm','2.3123  ',12.80,86.800,15.30,1021.0
'Observatory-Carolynfurt                                     ','Clear','Poor',0.140,'Last Quarter',80.68,'High','Active','6.3137  ',19.10,46.700,19.30,1026.2
'Observatory-New Bernard                                     ','Partially Cloudy','Good',0.500,'Last Quarter',45.93,'Moderate','Quiet','11.1386 ',-12.80,4.400,24.30,1015.2
'Observatory-Amyfurt                                         ','Clear','Good',0.590,'Full',103.31,'Low','Active','16.6665 ',1.10,42.500,19.30,1025.4
'Observatory-Lake Rhondatown                                 ','Partially Cloudy','Good',0.310,'First Quarter',166.63,'Moderate','Quiet','20.6141 ',-17.60,72.800,1.10,1023.4
'Observatory-Pattersonside                                   ','Clear','Excellent',0.200,'First Quarter',86.67,'Low','Quiet','15.6474 ',-8.10,10.000,22.30,1023.7
'Observatory-Thomasville                                     ','Clear','Good',0.390,'First Quarter',53.08,'High','Quiet','22.6331 ',2.50,72.400,23.10,990.8
'Observatory-Ericland                                        ','Partially Cloudy','Good',0.210,'New',53.70,'High','Storm','13.1358 ',39.80,2.900,20.80,1005.9
'Observatory-Hartport                                        ','Cloudy','Excellent',0.950,'Full',107.78,'Low','Active','20.8636 ',-7.70,41.500,19.70,995.4
'Observatory-Deanfurt                                        ','Partially Cloudy','Excellent',0.230,'Last Quarter',81.63,'Moderate','Quiet','9.6062  ',-16.60,25.000,14.10,985.0
'Observatory-Thomaschester                                   ','Clear','Good',0.070,'Full',105.26,'Low','Storm','5.7581  ',39.10,38.200,6.40,991.8
'Observatory-South Georgehaven                               ','Partially Cloudy','Good',0.800,'New',154.00,'High','Active','11.3065 ',10.10,18.700,8.00,1003.7
'Observatory-Phillipston                                     ','Clear','Excellent',0.310,'Last Quarter',134.83,'Low','Quiet','23.1937 ',10.80,85.000,20.50,992.1
'Observatory-Leetown                                         ','Cloudy','Good',0.130,'Full',64.83,'High','Storm','10.6069 ',-6.60,52.300,6.00,998.3
'Observatory-East Jeffrey                                    ','Partially Cloudy','Good',0.940,'Last Quarter',28.93,'High','Quiet','7.8525  ',-16.60,48.100,29.00,1002.4
'Observatory-South Christopherton                            ','Cloudy','Good',0.260,'New',15.33,'High','Storm','14.6263 ',-9.60,25.700,6.60,992.1
'Observatory-Port Crystalport                                ','Partially Cloudy','Poor',0.010,'New',93.75,'High','Quiet','18.4035 ',-15.90,75.800,25.40,1001.7
'Observatory-Rosebury                                        ','Cloudy','Good',0.520,'Last Quarter',80.73,'Moderate','Quiet','6.6802  ',39.50,54.500,7.50,1018.8
'Observatory-Port Terribury                                  ','Partially Cloudy','Good',0.320,'New',158.43,'High','Quiet','7.2857  ',-17.00,62.100,26.80,1013.8
'Observatory-South Ricardo                                   ','Partially Cloudy','Poor',0.440,'New',110.66,'High','Storm','13.4702 ',6.10,8.700,21.50,1010.6
'Observatory-Millerhaven                                     ','Clear','Excellent',0.250,'New',178.40,'Low','Quiet','11.5042 ',17.20,68.800,28.60,1015.8
'Observatory-East Janetburgh                                 ','Cloudy','Good',0.920,'New',50.07,'High','Storm','20.5253 ',3.40,32.100,17.60,987.5
'Observatory-Lewischester                                    ','Partially Cloudy','Good',0.750,'Full',81.08,'Low','Quiet','12.7331 ',14.00,55.100,23.10,998.9
'Observatory-West Katherineport                              ','Partially Cloudy','Good',0.870,'Last Quarter',46.35,'High','Active','19.0785 ',-6.30,90.800,8.80,1006.8
'Observatory-New Michaelmouth                                ','Cloudy','Excellent',0.090,'Last Quarter',35.86,'High','Quiet','8.4888  ',19.10,42.200,11.90,991.3
