'AS796980                            ','88.3','Sporadic','Unknown','0.737','0.579','0.039','0.278','0.796','0.062','0.538','227.66','0.854'
'AS745021                            ','52.3',NULL,'Static','0.674','0.762','0.673','0.485','0.15','0.241','0.979','514.79','0.122'
'AS499555                            ','60.5','Regular','Unknown','0.84','0.857','0.775','0.36','0.166','0.332','0.397','582.26','0.449'
'AS892698                            ','94.3',NULL,'Unknown','0.284','0.163','0.383','0.117','0.321','0.7','0.586','22.67','0.678'
'AS695323                            ','93.0',NULL,'Static','0.98','0.628','0.103','0.939','0.015','0.282','0.128','857.51','0.504'
'AS679527                            ','47.2','Sporadic','Dynamic','0.665','0.416','0.128','0.774','0.027','0.325','0.394','454.59','0.208'
'AS481338                            ','58.2','Regular','Unknown','0.583','0.508','0.681','0.43','0.533','0.069','0.51','607.04','0.628'
'AS549221                            ','74.5',NULL,'Static','0.358','0.507','0.985','0.858','0.172','0.561','0.447','122.82','0.454'
'AS363894                            ','11.0','Regular','Unknown','0.859','0.294','0.801','0.096','0.509','0.299','0.96','970.74','0.072'
'AS881853                            ','29.4',NULL,'Unknown','0.78','0.316','0.533','0.298','0.96','0.685','0.475','801.74','0.58'
'AS161739                            ','78.3',NULL,'Dynamic','0.641','0.851','0.356','0.686','0.515','0.684','0.214','515.52','0.23'
'AS866218                            ','78.0','Regular','Static','0.982','0.331','0.155','0.748','0.88','0.023','0.158','567.88','0.825'
'AS846535                            ','34.1','Regular','Dynamic','0.687','0.07','0.599','0.236','0.098','0.933','0.166','26.45','0.21'
'AS607386                            ','33.0',NULL,'Static','0.742','0.402','0.774','0.644','0.644','0.626','0.138','127.22','0.376'
'AS570936                            ','36.4','Sporadic','Unknown','0.571','0.171','0.5','0.656','0.894','0.016','0.181','644.79','0.006'
'AS854534                            ','60.0',NULL,'Unknown','0.592','0.241','0.673','0.353','0.956','0.053','0.633','519.88','0.119'
'AS787459                            ','22.4','Sporadic','Dynamic','0.876','0.661','0.565','0.052','0.952','0.752','0.141','693.29','0.935'
