'AS796980                            ',0.0330,0.7300,0.1980,0.9370,0.941,0.3170,0.88,0.574,0.1
'AS745021                            ',0.7580,0.7440,0.9860,-0.1090,0.488,0.1790,0.00,0.140,0.9
'AS499555                            ',0.4670,0.3010,0.8030,0.3330,0.139,0.2730,0.33,0.226,0.8
'AS892698                            ',0.1380,0.2310,0.7720,0.3770,0.677,0.7840,0.49,0.810,0.1
'AS695323                            ',0.6900,0.4750,0.6550,-0.0530,0.139,0.5380,0.41,0.822,0.8
'AS679527                            ',0.9600,0.2560,0.9360,0.4220,0.82,0.4170,0.93,0.902,0.5
'AS481338                            ',0.2140,0.5030,0.7670,-0.9190,0.077,0.8480,0.90,0.095,0.2
'AS549221                            ',0.9460,0.4800,0.0440,-0.3180,0.227,0.0070,0.62,0.283,0.3
'AS363894                            ',0.4970,0.3870,0.1100,0.6110,0.26,0.3290,0.52,0.025,0.3
'AS881853                            ',0.4870,0.3430,0.4580,-0.6130,0.798,0.3710,0.66,0.818,1.0
'AS161739                            ',0.9550,0.2720,0.8350,0.9150,0.814,0.7000,0.43,0.233,0.0
'AS866218                            ',0.1170,0.9890,0.8120,-0.9060,0.528,0.5660,0.52,0.146,0.4
'AS846535                            ',0.0360,0.0170,0.3660,-0.5220,0.67,0.9400,0.63,0.638,0.5
'AS607386                            ',0.8310,0.8840,0.0090,0.0800,0.062,0.8620,0.38,0.720,0.5
'AS570936                            ',0.5410,0.8060,0.7570,0.9400,0.408,0.5560,0.56,0.149,0.8
'AS854534                            ',0.6010,0.1670,0.8650,-0.1130,0.646,0.6930,0.54,0.034,0.5
'AS787459                            ',0.0660,0.8870,0.8110,0.1940,0.666,0.7700,0.75,0.689,0.4
'AS344041                            ',0.8020,0.9410,0.6410,-0.7340,0.879,0.3090,0.03,0.525,0.5
'AS666495                            ',0.3420,0.4080,0.2910,0.9740,0.64,0.5390,0.86,0.210,0.3
