1,1,1,'CB932064  ','Legal Obligation','Not Required','2024-09-13','2026-05-17','General','Business Operations','Partial','Compliant','Non-compliant','Non-compliant','Obtained','Completed','Partial'
2,2,2,'CB339111  ','Legal Obligation','Valid','2025-01-15','2025-02-25','Multiple','Research','Partial','Non-compliant','Partial','Compliant','Not Required','In Progress','Fully Supported'
3,3,3,'CB899685  ','Contract','Expired','2024-10-13','2025-03-30','Multiple','Research','Partial','Partial','Non-compliant','Non-compliant','Pending','In Progress','Limited'
4,4,4,'CB891187  ','Contract','Expired','2024-04-06','2025-10-12','General','Research','Non-compliant','Non-compliant','Non-compliant','Compliant','Obtained','Required','Limited'
5,5,5,'CB879069  ','Legal Obligation','Not Required','2024-12-18','2026-03-27','General','Marketing','Non-compliant','Non-compliant','Compliant','Compliant','Obtained','Completed','Fully Supported'
6,6,6,'CB760522  ','Legitimate Interest','Valid','2024-11-27','2025-10-13','Multiple','Research','Non-compliant','Partial','Compliant','Non-compliant','Not Required','Completed','Fully Supported'
7,7,7,'CB987231  ','Legal Obligation','Expired','2024-05-20','2027-01-01','General','Research','Non-compliant','Compliant','Non-compliant','Non-compliant','Not Required','Completed','Limited'
8,8,8,'CB795498  ','Legitimate Interest','Not Required','2024-09-11','2026-10-13','General','Compliance','Partial','Non-compliant','Partial','Partial','Not Required','Completed','Limited'
9,9,9,'CB182230  ','Legitimate Interest','Not Required','2025-01-15','2026-06-28','Specific','Business Operations','Non-compliant','Compliant','Compliant','Partial','Obtained','Completed','Partial'
10,10,10,'CB616195  ','Legal Obligation','Expired','2025-01-07','2026-12-09','General','Compliance','Non-compliant','Compliant','Partial','Non-compliant','Obtained','Required','Partial'
11,11,11,'CB755070  ','Legitimate Interest','Valid','2025-02-03','2026-01-30','Specific','Business Operations','Non-compliant','Non-compliant','Partial','Non-compliant','Pending','In Progress','Partial'
12,12,12,'CB333951  ','Legal Obligation','Valid','2024-09-26','2026-11-29','General','Business Operations','Partial','Compliant','Compliant','Partial','Pending','In Progress','Fully Supported'
13,13,13,'CB189595  ','Contract','Expired','2025-01-14','2025-04-26','General','Research','Partial','Partial','Compliant','Partial','Not Required','Required','Partial'
14,14,14,'CB752021  ','Contract','Expired','2024-03-24','2025-12-15','General','Business Operations','Partial','Compliant','Compliant','Compliant','Obtained','Completed','Partial'
15,15,15,'CB681691  ','Contract','Pending','2024-03-02','2025-09-20','Specific','Research','Non-compliant','Partial','Compliant','Compliant','Obtained','Completed','Partial'
16,16,16,'CB754483  ','Contract','Valid','2025-01-18','2026-07-16','General','Compliance','Compliant','Non-compliant','Partial','Non-compliant','Pending','Completed','Limited'
17,17,17,'CB574043  ','Contract','Valid','2024-08-30','2026-01-26','General','Compliance','Partial','Non-compliant','Partial','Partial','Pending','Required','Fully Supported'
18,18,18,'CB847407  ','Contract','Expired','2024-05-19','2026-12-03','Specific','Business Operations','Non-compliant','Partial','Non-compliant','Partial','Pending','Required','Limited'
19,19,19,'CB313620  ','Legitimate Interest','Expired','2024-07-16','2026-10-01','Multiple','Marketing','Partial','Compliant','Compliant','Partial','Obtained','In Progress','Partial'
20,20,20,'CB494948  ','Consent','Pending','2024-03-02','2027-01-15','Specific','Compliance','Compliant','Non-compliant','Non-compliant','Non-compliant','Obtained','In Progress','Partial'
21,21,21,'CB658848  ','Contract','Not Required','2024-11-21','2025-12-19','Specific','Research','Non-compliant','Partial','Compliant','Partial','Pending','In Progress','Fully Supported'
22,22,22,'CB139645  ','Legal Obligation','Expired','2024-05-13','2026-03-09','General','Research','Partial','Compliant','Partial','Partial','Obtained','Completed','Fully Supported'
23,23,23,'CB354081  ','Legitimate Interest','Valid','2024-05-04','2025-11-11','General','Marketing','Compliant','Non-compliant','Partial','Compliant','Not Required','Completed','Limited'
24,24,24,'CB709573  ','Consent','Not Required','2024-06-27','2025-06-20','Multiple','Business Operations','Non-compliant','Compliant','Partial','Non-compliant','Not Required','In Progress','Partial'
25,25,25,'CB350496  ','Consent','Pending','2025-01-28','2026-01-30','Specific','Compliance','Partial','Non-compliant','Compliant','Partial','Obtained','Completed','Partial'
26,26,26,'CB455586  ','Contract','Expired','2024-12-31','2026-12-07','Specific','Marketing','Compliant','Non-compliant','Compliant','Partial','Pending','Completed','Partial'
27,27,27,'CB380798  ','Contract','Valid','2024-12-13','2025-07-02','General','Compliance','Non-compliant','Compliant','Compliant','Compliant','Obtained','In Progress','Fully Supported'
28,28,28,'CB419499  ','Contract','Pending','2024-10-03','2026-06-17','General','Business Operations','Non-compliant','Non-compliant','Non-compliant','Non-compliant','Obtained','Required','Limited'
29,29,29,'CB224901  ','Consent','Expired','2025-01-01','2025-08-06','Multiple','Business Operations','Partial','Compliant','Partial','Compliant','Pending','In Progress','Partial'
30,30,30,'CB950713  ','Contract','Valid','2024-08-06','2026-09-28','Specific','Business Operations','Partial','Non-compliant','Non-compliant','Partial','Not Required','In Progress','Limited'
31,31,31,'CB586302  ','Consent','Expired','2024-09-14','2026-06-15','General','Marketing','Partial','Compliant','Non-compliant','Partial','Pending','Completed','Fully Supported'
32,32,32,'CB418225  ','Legitimate Interest','Expired','2024-03-16','2025-05-24','Specific','Compliance','Compliant','Partial','Non-compliant','Partial','Pending','Completed','Fully Supported'
33,33,33,'CB413130  ','Consent','Not Required','2024-12-17','2026-01-06','General','Compliance','Compliant','Compliant','Compliant','Non-compliant','Pending','In Progress','Partial'
34,34,34,'CB457752  ','Legitimate Interest','Expired','2024-12-15','2025-05-10','Specific','Business Operations','Non-compliant','Compliant','Non-compliant','Partial','Not Required','Required','Partial'
35,35,35,'CB102232  ','Legitimate Interest','Valid','2024-03-30','2026-04-21','Specific','Compliance','Compliant','Partial','Compliant','Partial','Not Required','In Progress','Partial'
36,36,36,'CB824373  ','Legitimate Interest','Expired','2025-01-31','2026-04-02','Multiple','Compliance','Partial','Partial','Non-compliant','Non-compliant','Not Required','Completed','Limited'
37,37,37,'CB691369  ','Consent','Expired','2024-03-07','2025-12-15','General','Marketing','Non-compliant','Non-compliant','Non-compliant','Partial','Pending','In Progress','Fully Supported'
38,38,38,'CB971583  ','Legal Obligation','Pending','2024-10-30','2025-03-22','Multiple','Research','Partial','Compliant','Non-compliant','Non-compliant','Not Required','Required','Partial'
39,39,39,'CB873031  ','Legal Obligation','Pending','2025-01-01','2026-10-03','Multiple','Compliance','Compliant','Compliant','Partial','Non-compliant','Obtained','Completed','Partial'
40,40,40,'CB236518  ','Consent','Valid','2024-12-05','2025-06-20','General','Compliance','Partial','Compliant','Compliant','Non-compliant','Not Required','Completed','Fully Supported'
41,41,41,'CB771223  ','Contract','Valid','2024-06-29','2026-05-11','Multiple','Marketing','Partial','Partial','Partial','Partial','Pending','Completed','Partial'
42,42,42,'CB337808  ','Contract','Expired','2024-10-17','2025-10-23','Specific','Research','Partial','Partial','Non-compliant','Partial','Obtained','Required','Fully Supported'
43,43,43,'CB607937  ','Legal Obligation','Expired','2024-06-14','2025-05-07','Specific','Research','Compliant','Partial','Compliant','Non-compliant','Pending','Required','Partial'
44,44,44,'CB173413  ','Contract','Valid','2024-02-22','2025-10-18','Specific','Business Operations','Partial','Partial','Non-compliant','Partial','Obtained','In Progress','Limited'
45,45,45,'CB735421  ','Contract','Pending','2024-07-30','2026-07-22','Multiple','Compliance','Compliant','Non-compliant','Compliant','Partial','Obtained','Required','Partial'
46,46,46,'CB165204  ','Legal Obligation','Valid','2024-05-27','2025-12-06','General','Business Operations','Non-compliant','Partial','Non-compliant','Partial','Obtained','Completed','Limited'
47,47,47,'CB889289  ','Legal Obligation','Valid','2024-12-17','2026-10-05','General','Marketing','Non-compliant','Compliant','Partial','Partial','Not Required','In Progress','Partial'
48,48,48,'CB281082  ','Consent','Valid','2024-03-29','2027-01-11','General','Business Operations','Non-compliant','Non-compliant','Partial','Non-compliant','Obtained','Completed','Fully Supported'
49,49,49,'CB490857  ','Legal Obligation','Valid','2024-08-26','2026-03-15','Multiple','Marketing','Non-compliant','Partial','Non-compliant','Compliant','Pending','Completed','Fully Supported'
50,50,50,'CB294488  ','Contract','Not Required','2024-02-21','2027-02-09','General','Marketing','Compliant','Compliant','Compliant','Compliant','Not Required','Required','Limited'
51,51,51,'CB566604  ','Contract','Not Required','2024-06-19','2025-05-29','Specific','Research','Partial','Non-compliant','Partial','Non-compliant','Pending','In Progress','Limited'
52,52,52,'CB303544  ','Consent','Pending','2024-10-01','2025-06-22','Specific','Marketing','Non-compliant','Compliant','Non-compliant','Non-compliant','Obtained','In Progress','Partial'
53,53,53,'CB794201  ','Legitimate Interest','Valid','2024-03-22','2027-01-09','General','Research','Non-compliant','Compliant','Compliant','Partial','Not Required','Required','Fully Supported'
