'COMM_BGDA3',9,25,'No',6.400,5.613,80.65,'Standard','External',36,'Medium','Variable',0.850,58,1.82,29,'TX_4F06D','PROD_0C7HD'
'COMM_MJ90F',9,75,'No',61.500,1.454,29.25,'Custom','Mixed',10,'Low','Consistent',0.279,65,10.18,49,'TX_69L3A','PROD_LH5LN'
'COMM_6HX3V',3,97,'Suspected',79.000,6.659,2.53,'Standard','External',5,'Medium','Consistent',0.053,90,12.42,40,'TX_F8DOW','PROD_ARXK5'
'COMM_SPK9B',2,67,'Suspected',70.600,6.522,51.29,'Enhanced','External',37,'Medium','Suspicious',0.936,62,60.69,34,'TX_LUZYM','PROD_E7BCI'
'COMM_II6MU',3,14,'Yes',13.900,5.400,51.45,'Standard','Mixed',39,'Medium','Variable',0.891,31,87.53,4,'TX_48L5V','PROD_559F3'
'COMM_ALPS9',4,8,'No',44.100,1.180,86.92,'Custom','Mixed',33,'Medium','Suspicious',0.955,85,61.48,43,'TX_Y71KB','PROD_TW2JR'
'COMM_6FS0K',9,19,'No',33.700,0.814,4.11,'Enhanced','Internal',32,'Medium','Suspicious',0.039,19,20.63,49,'TX_XI55P','PROD_8D2Y0'
'COMM_3NBN0',3,35,'Yes',91.100,0.540,81.84,'Enhanced','Internal',37,'Low','Suspicious',0.708,78,37.79,28,'TX_JCEOO','PROD_OPJ0F'
'COMM_0ULLV',9,38,'No',59.600,5.754,68.15,'Standard','External',28,'High','Suspicious',0.275,91,76.13,29,'TX_NW7JE','PROD_8RL5F'
'COMM_4TB9R',6,8,'No',84.900,1.916,15.06,'Enhanced','External',47,'Medium','Variable',0.033,48,52.79,7,'TX_1EL6L','PROD_83LJA'
'COMM_BT8KE',9,40,'Suspected',24.800,0.818,55.91,'Custom','External',7,'Low','Suspicious',0.659,46,96.94,48,'TX_XD5I7','PROD_5WI01'
'COMM_3NDJH',1,4,'No',66.300,9.741,57.55,'Standard','External',41,'Low','Suspicious',0.446,44,33.82,15,'TX_LQL2H','PROD_DZN2W'
'COMM_A9GNX',9,50,'No',46.400,1.024,54.28,'Standard','External',21,'Medium','Variable',0.207,57,48.30,18,'TX_7EQIR','PROD_B1C77'
'COMM_YRFQP',10,11,'Suspected',57.700,4.297,76.23,'Custom','Mixed',32,'Low','Consistent',0.200,11,37.80,2,'TX_WZA8X','PROD_EOF1Y'
'COMM_I21GC',5,95,'No',77.800,4.662,26.57,'Custom','External',3,'Low','Variable',0.208,63,57.98,41,'TX_LYQIK','PROD_OCVZS'
'COMM_RAP5K',3,8,'Suspected',4.700,8.562,51.13,'Standard','Mixed',24,'High','Variable',0.361,96,22.47,37,'TX_WOAZ7','PROD_1E7SV'
'COMM_QOM3Z',7,14,'No',40.300,4.967,96.52,'Standard','Internal',10,'Low','Consistent',0.105,27,30.16,37,'TX_W978J','PROD_4AOCT'
'COMM_ZW93D',1,7,'No',30.600,8.041,80.60,'Standard','Internal',42,'Low','Variable',0.467,40,3.45,39,'TX_ZAEG4','PROD_V8ZS1'
'COMM_LM4HC',7,70,'Yes',64.100,1.780,45.05,'Custom','Mixed',21,'Low','Consistent',0.346,18,54.47,39,'TX_6GAWI','PROD_OX7GY'
'COMM_5ZGSC',7,85,'No',11.300,7.268,78.83,'Enhanced','Internal',4,'Medium','Suspicious',0.874,88,10.64,21,'TX_TKY7T','PROD_VSN9S'
'COMM_7US8T',9,5,'Yes',36.500,7.378,61.19,'Custom','External',43,'High','Consistent',0.102,56,54.00,36,'TX_AZCXJ','PROD_7CQHE'
'COMM_0UQLG',7,76,'Yes',74.600,5.745,81.06,'Standard','Internal',20,'High','Variable',0.699,51,53.79,0,'TX_M9LXP','PROD_B0U34'
'COMM_06TS6',6,52,'No',69.300,3.390,41.89,'Standard','External',22,'High','Suspicious',0.175,94,56.66,0,'TX_3T1UN','PROD_FTHGH'
'COMM_04KGB',6,77,'No',72.000,0.061,44.28,'Enhanced','External',7,'High','Variable',0.403,31,66.02,38,'TX_MSY2C','PROD_DXFYI'
'COMM_0W64J',6,27,'Yes',10.500,8.094,68.22,'Custom','External',16,'Medium','Consistent',0.530,12,36.72,18,'TX_TJERE','PROD_AJJ9A'
'COMM_I3DSP',1,5,'No',30.800,6.546,16.07,'Custom','Mixed',14,'High','Variable',0.892,55,0.71,36,'TX_JJAVL','PROD_CFP41'
'COMM_HT9NL',4,61,'No',24.100,7.955,30.50,'Standard','Internal',22,'Medium','Suspicious',0.881,12,67.43,11,'TX_EOWTN','PROD_YS84R'
'COMM_T18IA',7,99,'No',19.500,2.429,26.10,'Enhanced','External',2,'High','Variable',0.312,11,56.83,27,'TX_N4C9I','PROD_B8E61'
'COMM_GG99I',8,12,'Yes',20.300,5.102,3.26,'Standard','Mixed',43,'Low','Suspicious',0.407,90,67.51,20,'TX_ZK7I4','PROD_041MO'
'COMM_SJ27X',6,59,'Yes',97.800,1.992,26.88,'Enhanced','Mixed',41,'Low','Suspicious',0.616,86,83.62,1,'TX_67ZNZ','PROD_F7PT2'
'COMM_6LOXA',3,82,'No',12.100,5.169,40.71,'Custom','Internal',12,'Low','Suspicious',0.030,34,84.34,7,'TX_LBZY9','PROD_FRR00'
'COMM_D1UE3',7,4,'Suspected',23.900,7.856,97.34,'Enhanced','Internal',44,'Medium','Variable',0.478,96,75.41,9,'TX_V4XNN','PROD_HE08I'
'COMM_OU74A',5,35,'Yes',18.000,6.418,51.69,'Standard','Internal',27,'Low','Variable',0.802,14,94.00,15,'TX_94S5P','PROD_N0X3O'
'COMM_XGE6U',1,83,'No',20.000,1.625,8.76,'Custom','Internal',42,'High','Suspicious',0.120,24,5.68,36,'TX_JNDUQ','PROD_N7R15'
'COMM_4YOKE',1,49,'No',12.900,3.367,49.91,'Standard','External',44,'Medium','Variable',0.155,17,17.32,30,'TX_TH09A','PROD_1FI6P'
'COMM_0N19Z',4,54,'Suspected',74.700,1.714,31.93,'Enhanced','Mixed',12,'Low','Variable',0.282,22,62.76,48,'TX_8BK9T','PROD_90QIO'
