'RISK_UUZ5A',0.433,'Low',29,4,34.40,722,98937.33,42.320,58.40,8.9,3.8,6.6,'COMM_BGDA3','TX_4F06D','{"network_analysis": {"centrality_score": 13.082, "cluster_coefficient": null, "connection_diversity": 97.77}, "behavioral_analysis": {"geo_distribution_score": 81.9, "temporal_pattern_score": 70.39, "behavior_consistency_score": 67.64}, "transaction_pattern_category": "Suspicious"}'
'RISK_M8885',0.981,'Medium',8,9,29.80,307,16240.76,4.290,97.70,0.8,7.5,1.3,'COMM_MJ90F','TX_69L3A','{"network_analysis": {"centrality_score": 84.588, "cluster_coefficient": null, "connection_diversity": 80.62}, "behavioral_analysis": {"geo_distribution_score": 7.1, "temporal_pattern_score": 61.89, "behavior_consistency_score": 85.54}, "transaction_pattern_category": "Normal"}'
'RISK_KAE6H',0.530,'Low',47,10,47.40,879,26348.08,19.450,88.40,9.2,6.6,2.2,'COMM_6HX3V','TX_F8DOW','{"network_analysis": {"centrality_score": 34.528, "cluster_coefficient": null, "connection_diversity": 83.97}, "behavioral_analysis": {"geo_distribution_score": 74.0, "temporal_pattern_score": 59.13, "behavior_consistency_score": 52.45}, "transaction_pattern_category": "High-risk"}'
'RISK_728YK',0.616,'High',9,6,38.10,452,82897.33,36.260,90.30,7.7,0.6,0.5,'COMM_SPK9B','TX_LUZYM','{"network_analysis": {"centrality_score": 98.839, "cluster_coefficient": null, "connection_diversity": 13.83}, "behavioral_analysis": {"geo_distribution_score": 54.6, "temporal_pattern_score": 28.57, "behavior_consistency_score": 64.16}, "transaction_pattern_category": "High-risk"}'
'RISK_OELBS',0.277,'High',20,7,30.90,864,90009.32,4.030,81.50,6.7,5.5,5.6,'COMM_II6MU','TX_48L5V','{"network_analysis": {"centrality_score": 58.448, "cluster_coefficient": null, "connection_diversity": 71.34}, "behavioral_analysis": {"geo_distribution_score": 68.3, "temporal_pattern_score": 80.59, "behavior_consistency_score": 73.75}, "transaction_pattern_category": "Normal"}'
'RISK_NGI1F',0.734,'Low',0,9,30.20,98,89674.08,43.190,88.40,3.0,1.8,9.5,'COMM_ALPS9','TX_Y71KB','{"network_analysis": {"centrality_score": 32.733, "cluster_coefficient": null, "connection_diversity": 2.33}, "behavioral_analysis": {"geo_distribution_score": 36.7, "temporal_pattern_score": 80.73, "behavior_consistency_score": 7.56}, "transaction_pattern_category": "Normal"}'
'RISK_7LYVW',0.419,'Low',21,9,63.60,655,45041.57,41.280,97.50,2.0,5.2,1.6,'COMM_6FS0K','TX_XI55P','{"network_analysis": {"centrality_score": 31.323, "cluster_coefficient": null, "connection_diversity": 33.75}, "behavioral_analysis": {"geo_distribution_score": 66.7, "temporal_pattern_score": 23.86, "behavior_consistency_score": 78.05}, "transaction_pattern_category": "Suspicious"}'
'RISK_U5EQ1',0.154,'Medium',29,4,83.70,70,60567.61,42.240,43.50,5.4,1.4,0.0,'COMM_3NBN0','TX_JCEOO','{"network_analysis": {"centrality_score": 89.154, "cluster_coefficient": null, "connection_diversity": 2.51}, "behavioral_analysis": {"geo_distribution_score": 87.6, "temporal_pattern_score": 87.77, "behavior_consistency_score": 86.41}, "transaction_pattern_category": "High-risk"}'
'RISK_J0BC1',0.918,'High',32,10,48.70,840,70564.41,14.470,23.60,3.5,0.5,8.7,'COMM_0ULLV','TX_NW7JE','{"network_analysis": {"centrality_score": 27.464, "cluster_coefficient": null, "connection_diversity": 38.93}, "behavioral_analysis": {"geo_distribution_score": 57.0, "temporal_pattern_score": 44.42, "behavior_consistency_score": 89.31}, "transaction_pattern_category": "Normal"}'
'RISK_THGP2',0.449,'Medium',40,4,88.50,823,38382.27,40.020,84.00,10.0,6.6,3.8,'COMM_RAP5K','TX_WOAZ7','{"network_analysis": {"centrality_score": 54.099, "cluster_coefficient": 0.9279, "connection_diversity": 50.46}, "behavioral_analysis": {"geo_distribution_score": 45.8, "temporal_pattern_score": 84.69, "behavior_consistency_score": 74.42}, "transaction_pattern_category": "High-risk"}'
