'BENE_4NZJ','DIST_SB6K7','OPS_76ZOW','Complete','Complete','Due',0.54,2.30,'High','Limited'
'BENE_FJSN','DIST_PGACZ','OPS_QXWBZ','Pending','Complete','Overdue',0.87,1.30,'Low','Limited'
'BENE_RCD9','DIST_HJ1BQ','OPS_GGBVJ','Complete','Pending','Overdue',0.88,1.50,'Medium','Active'
'BENE_NFC1','DIST_78UN6','OPS_629DE','Complete','In Progress','Due',0.80,2.00,'High','Limited'
'BENE_7LWJ','DIST_BJS5W','OPS_XQ35T','Complete','Pending','Updated',0.55,4.80,'Low','Limited'
'BENE_QZML','DIST_OTIS6','OPS_DK4UF','Complete','Pending','Updated',0.91,2.40,'Low','Limited'
'BENE_6X9D','DIST_KQOTE','OPS_ILDJL','Complete','Complete','Due',0.56,4.30,'High','Active'
'BENE_20P7','DIST_8AAIU','OPS_VVE8V','Complete','In Progress','Due',0.65,2.90,'High','Limited'
'BENE_8MYF','DIST_LGE6R','OPS_AOZUY','Partial','Complete','Updated',0.61,4.30,'Medium','Active'
'BENE_IWMI','DIST_UNIV4','OPS_HSF14','Complete','Complete','Due',0.57,1.60,'Low','Active'
'BENE_8K7H','DIST_WAMHB','OPS_ESA6M','Pending','Pending','Due',0.94,3.70,'Low','Limited'
'BENE_JYBK','DIST_ZDZPV','OPS_EPPYW','Partial','Complete','Overdue',0.88,1.80,'High','Active'
'BENE_P8X3','DIST_EHQIN','OPS_IKZLQ','Partial','Complete','Overdue',0.78,4.20,'Low','Limited'
'BENE_UMGW','DIST_3BRGU','OPS_MZ946','Partial','Complete','Overdue',0.93,2.60,'Medium','Limited'
'BENE_WXYM','DIST_MLGPV','OPS_774UP','Partial','Complete','Overdue',0.90,3.60,'Low','Limited'
'BENE_FFMC','DIST_61FG5','OPS_H53JW','Pending','Complete','Updated',0.85,2.70,'Medium','Limited'
'BENE_6QHD','DIST_7KRW1','OPS_B2J2G','Pending','Complete','Overdue',0.66,1.10,'High','Limited'
'BENE_E7ZD','DIST_4R8AD','OPS_XZC12','Pending','Pending','Updated',0.54,4.00,'Low','Limited'
'BENE_AQZY','DIST_N732S','OPS_SZVS1','Complete','Complete','Overdue',0.78,1.30,'Medium','Active'
'BENE_RD8K','DIST_1AHFF','OPS_CYCTV','Complete','Complete','Due',0.82,3.80,'High','Limited'
'BENE_51NB','DIST_GENII','OPS_8H272','Partial','Pending','Updated',0.59,3.10,'Medium','Active'
'BENE_Z9XO','DIST_YJKGX','OPS_L8CE7','Pending','Pending','Updated',0.63,1.30,'Low','Active'
'BENE_41CX','DIST_MQQRJ','OPS_98L84','Complete','In Progress','Due',0.96,3.80,'Low','Active'
'BENE_0CK3','DIST_WNPAW','OPS_NTV3F','Pending','Pending','Due',0.69,2.00,'Low','Limited'
'BENE_6F1G','DIST_VNRFT','OPS_TY0F9','Partial','Complete','Updated',0.85,4.30,'Low','Limited'
'BENE_IDSJ','DIST_ZUZIO','OPS_JF4Y9','Pending','In Progress','Overdue',0.70,3.30,'Low','Limited'
'BENE_JFN1','DIST_1CQCG','OPS_9D43O','Partial','Pending','Updated',0.95,4.70,'High','Limited'
'BENE_ECHN','DIST_LUHW9','OPS_9DGPQ','Complete','In Progress','Due',0.77,2.90,'Medium','Active'
'BENE_PX7Q','DIST_G79HI','OPS_QKZIB','Pending','Complete','Updated',0.95,2.10,'Medium','Limited'
'BENE_L8F5','DIST_D5VXU','OPS_LXI6P','Complete','In Progress','Overdue',0.81,4.40,'Low','Limited'
'BENE_HF9I','DIST_0ZKCS','OPS_YLJSL','Partial','In Progress','Overdue',0.56,4.90,'Low','Limited'
'BENE_0XXL','DIST_1Y0YN','OPS_JBGPD','Partial','In Progress','Due',0.90,1.70,'High','Limited'
'BENE_YNZL','DIST_D8IX7','OPS_WG1H2','Partial','Complete','Updated',0.56,3.80,'High','Limited'
'BENE_MCKD','DIST_CYPNX','OPS_4PC0C','Complete','In Progress','Overdue',0.94,4.30,'High','Active'
'BENE_FYWF','DIST_U3VET','OPS_XAZ4V','Partial','In Progress','Overdue',0.56,2.70,'Medium','Limited'
'BENE_0VBW','DIST_SJW8E','OPS_3H2UI','Pending','In Progress','Due',0.77,1.50,'High','Limited'
'BENE_5ATY','DIST_JIICP','OPS_09MZT','Partial','Pending','Due',0.54,1.60,'Low','Limited'
'BENE_JY3E','DIST_0EP81','OPS_VCPJM','Partial','Complete','Updated',0.90,1.70,'Low','Limited'
'BENE_CT4B','DIST_IBM4M','OPS_WG4BH','Pending','Pending','Updated',0.56,3.00,'High','Limited'
'BENE_VFYH','DIST_YB15N','OPS_UUNU4','Complete','In Progress','Updated',0.80,4.90,'High','Limited'
'BENE_TDOT','DIST_9MF66','OPS_LHQC4','Pending','Complete','Due',0.79,3.50,'High','Limited'
'BENE_WYDY','DIST_QK7B5','OPS_VD9CX','Partial','Complete','Due',0.72,1.80,'High','Limited'
'BENE_WS7H','DIST_T4PIW','OPS_YGQB3','Complete','Complete','Updated',0.90,2.30,'Medium','Limited'
'BENE_VXVD','DIST_PRCD9','OPS_TS1YR','Partial','In Progress','Overdue',0.92,2.20,'Medium','Limited'
'BENE_3A2K','DIST_WF7Q3','OPS_C5XOS','Pending','Pending','Overdue',0.63,3.90,'High','Active'
'BENE_VEEA','DIST_WVD9E','OPS_XMIZI','Pending','In Progress','Due',0.84,1.50,'Medium','Limited'
'BENE_AAYF','DIST_PKX8Z','OPS_OL6RF','Partial','In Progress','Due',0.59,1.70,'Medium','Limited'
'BENE_H50V','DIST_VU1S9','OPS_OQ27A','Complete','In Progress','Updated',0.75,1.40,'Low','Limited'
'BENE_24VE','DIST_FSB54','OPS_LENGE','Partial','Complete','Due',0.82,4.30,'Low','Active'
'BENE_Z8ZV','DIST_S9I7V','OPS_6E321','Partial','Complete','Due',0.51,2.00,'High','Active'
'BENE_P9EV','DIST_PBAVU','OPS_XQIL8','Partial','Pending','Updated',0.86,4.10,'Low','Active'
'BENE_3178','DIST_Z0YXO','OPS_1LOAI','Partial','Pending','Due',0.60,1.30,'High','Limited'
'BENE_7W50','DIST_DI100','OPS_97ZLG','Pending','In Progress','Updated',0.58,4.80,'Low','Limited'
'BENE_53YJ','DIST_SX8VA','OPS_SB6OL','Complete','In Progress','Due',0.50,3.90,'Low','Limited'
'BENE_TT52','DIST_3R3TZ','OPS_VMVX6','Pending','Complete','Updated',0.63,2.50,'High','Active'
'BENE_LVKN','DIST_0IW4C','OPS_Z3AKR','Partial','Pending','Updated',0.74,1.90,'High','Limited'
'BENE_3KX1','DIST_SJZ4Q','OPS_FQG24','Partial','Complete','Overdue',0.67,2.70,'Low','Limited'
'BENE_9EDU','DIST_412JC','OPS_ROC04','Partial','Complete','Updated',0.80,4.60,'High','Limited'
'BENE_SQKJ','DIST_5PIJW','OPS_GVCRC','Partial','Pending','Due',0.57,2.60,'Low','Limited'
'BENE_7GXA','DIST_FAXKO','OPS_7SVOD','Partial','In Progress','Due',0.57,4.10,'Medium','Active'
'BENE_BMMH','DIST_58D9C','OPS_B49AB','Pending','Pending','Overdue',0.54,3.80,'High','Active'
'BENE_V8AH','DIST_WSNUM','OPS_E5955','Pending','Complete','Overdue',0.59,2.40,'Low','Limited'
'BENE_9SLS','DIST_MF3A9','OPS_D0HLM','Partial','Complete','Overdue',0.58,4.60,'Medium','Limited'
'BENE_T061','DIST_C95FA','OPS_H8R68','Partial','Pending','Overdue',0.61,3.10,'Medium','Limited'
'BENE_4LQL','DIST_TGGCK','OPS_IR06A','Complete','In Progress','Updated',0.72,4.30,'Medium','Active'
'BENE_KC9A','DIST_65NNR','OPS_TZZ73','Partial','Pending','Overdue',0.64,1.40,'Low','Active'
'BENE_CZQ4','DIST_YL96F','OPS_9BOFC','Partial','Complete','Overdue',0.77,5.00,'Medium','Limited'
'BENE_NOAX','DIST_WZM4U','OPS_PA1A8','Pending','Complete','Updated',0.92,1.30,'High','Limited'
'BENE_ZQEU','DIST_SCJBD','OPS_M8IZU','Complete','In Progress','Due',0.62,2.70,'Low','Limited'
'BENE_GW2T','DIST_DPG05','OPS_6XF1V','Complete','In Progress','Updated',0.80,3.90,'Low','Active'
'BENE_OMDD','DIST_298U3','OPS_D14PW','Complete','In Progress','Due',0.82,1.50,'High','Active'
