'COORD_D3PK','DIST_SB6K7','OPS_76ZOW',83,'Safe','Partial','Medium','9','Poor',91.0,4,'Monthly','Overdue','In Progress','Overdue','Insufficient','Full','Partial','Completed','Moderate',4.00,'Positive',3.5,'Partial','5','2','25','2025-04-22','Record item between direction program media bed across.'
'COORD_Z5NY','DIST_PGACZ','OPS_QXWBZ',45,'Safe','Partial','Low','36','Limited',77.4,3,'Daily','Overdue','Documented','Due','Insufficient','Partial','Partial','Due','Moderate',2.10,'Positive',1.5,'Partial','22','4','16','2025-03-09',''
'COORD_67A3','DIST_HJ1BQ','OPS_GGBVJ',49,'Moderate','Severe','Low','21','Limited',77.1,4,'Monthly','Due','Pending','Overdue','Partial','Full','Partial','Completed','Strong',3.80,'Neutral',2.1,'Incomplete','19','4','26','2025-07-05','Recent discuss part seven fact.'
'COORD_7MR7','DIST_78UN6','OPS_629DE',75,'High Risk','Severe','High','19','Effective',81.7,2,'Monthly','Current','In Progress','Overdue','Adequate','Full','Partial','Overdue','Weak',4.00,'Neutral',4.8,'Partial','5','0','11','2025-03-26','Get economic player.'
'COORD_RXXA','DIST_BJS5W','OPS_XQ35T',65,'Safe','Partial','Medium','30','Poor',82.5,5,'Weekly','Due','Pending','Overdue','Partial','Partial','Compliant','Due','Strong',2.80,'Negative',4.5,'Complete','0','16','22','2025-03-08',''
'COORD_8K14','DIST_OTIS6','OPS_DK4UF',8,'High Risk','Severe','Low','45','Poor',87.7,5,'Monthly','Current','In Progress','Updated','Adequate','Partial','Non-Compliant','Completed','Weak',3.30,'Negative',4.5,'Partial','40','0','19','2025-04-11',''
'COORD_771N','DIST_KQOTE','OPS_ILDJL',3,'Safe','Partial','High','40','Effective',77.1,3,'Daily','Current','Pending','Overdue','Insufficient','Full','Partial','Completed','Moderate',1.30,'Positive',4.3,'Partial','6','26','5','2025-07-17','Wind mother owner six.'
'COORD_JQ8O','DIST_8AAIU','OPS_VVE8V',93,'Moderate','Severe','Low','16','Poor',88.0,4,'Monthly','Due','Documented','Overdue','Adequate','Partial','Partial','Due','Moderate',2.20,'Positive',1.8,'Incomplete','49','26','1','2025-06-11',''
'COORD_8LBN','DIST_LGE6R','OPS_AOZUY',40,'Moderate','Severe','High','22','Limited',71.1,4,'Weekly','Current','Documented','Overdue','Adequate','Full','Non-Compliant','Completed','Strong',3.00,'Negative',3.0,'Complete','25','4','22','2025-08-05','Central check but member really.'
'COORD_FQTQ','DIST_UNIV4','OPS_HSF14',60,'Safe','Severe','Medium','20','Poor',81.7,2,'Weekly','Current','Pending','Updated','Partial','Partial','Compliant','Overdue','Strong',4.10,'Negative',4.3,'Complete','32','23','30','2025-07-25','Window protect with language.'
