'HUB_HS0I','DIST_SB6K7',5101.00,9.400,93293.00,7279.000,249.000,6.6,'Fair',91.30,3.31
'HUB_UGZM','DIST_PGACZ',1825.00,52.300,45603.00,9050.000,151.000,5.9,'Excellent',98.40,0.63
'HUB_05ZL','DIST_HJ1BQ',7553.00,79.700,2908.00,9396.000,395.000,4.0,'Good',92.90,1.14
'HUB_VA2A','DIST_78UN6',9766.00,61.600,11248.00,9488.000,247.000,2.6,'Fair',91.90,4.17
'HUB_1USM','DIST_BJS5W',3462.00,29.800,40019.00,4041.000,657.000,2.1,'Good',100.00,1.21
'HUB_PYMM','DIST_OTIS6',8317.00,9.400,44936.00,8307.000,788.000,2.2,'Good',99.20,3.87
'HUB_ZR0U','DIST_KQOTE',951.00,4.400,86314.00,9104.000,372.000,2.8,'Excellent',95.50,4.11
'HUB_44KU','DIST_8AAIU',602.00,17.200,89603.00,1645.000,446.000,4.0,'Poor',96.00,1.18
'HUB_39VO','DIST_LGE6R',2080.00,15.300,64399.00,1868.000,232.000,6.1,'Poor',92.70,2.13
'HUB_GDAW','DIST_UNIV4',6558.00,56.100,73102.00,9722.000,242.000,2.4,'Excellent',90.70,4.46
'HUB_2RCL','DIST_WAMHB',9173.00,51.200,8212.00,7148.000,721.000,7.5,'Fair',99.20,2.62
'HUB_39T2','DIST_ZDZPV',2873.00,26.700,9630.00,8575.000,213.000,4.7,'Fair',92.70,4.37
'HUB_4CE5','DIST_EHQIN',2102.00,88.100,39490.00,7124.000,879.000,7.4,'Poor',99.30,4.24
'HUB_N9Y0','DIST_3BRGU',5174.00,26.800,69512.00,4785.000,884.000,2.1,'Fair',90.90,1.86
'HUB_Y8GX','DIST_MLGPV',4725.00,31.100,92511.00,3817.000,961.000,5.8,'Fair',97.60,1.47
'HUB_CTVZ','DIST_61FG5',7553.00,63.400,79334.00,720.000,603.000,5.0,'Good',93.60,1.13
'HUB_SZPM','DIST_7KRW1',5745.00,90.500,71248.00,6527.000,567.000,6.4,'Good',90.60,0.44
'HUB_2NLX','DIST_4R8AD',8726.00,53.200,61647.00,7558.000,649.000,2.6,'Good',99.60,4.03
'HUB_S6LM','DIST_N732S',9467.00,0.600,7055.00,722.000,453.000,6.1,'Good',96.70,0.37
'HUB_4G3Z','DIST_1AHFF',7004.00,42.400,31248.00,5683.000,223.000,4.7,'Good',99.30,0.60
'HUB_9L99','DIST_GENII',2613.00,11.100,99114.00,5612.000,852.000,5.3,'Fair',90.20,0.62
