'ENV_XU4H','DIST_SB6K7','Low','Adequate',68.4,793.500,43.30,85.60,53.500,'High','Adequate',14.800,'Limited'
'ENV_NO2C','DIST_PGACZ','Low','Adequate',62.4,403.300,27.50,90.90,65.500,'High','Critical',77.700,'Available'
'ENV_U9JR','DIST_HJ1BQ','High','Adequate',18.1,270.200,27.70,11.70,6.600,'Medium','Adequate',24.600,'Limited'
'ENV_BNRF','DIST_78UN6','Medium','Limited',14.6,934.500,38.20,39.20,54.700,'Medium','Critical',79.400,'Limited'
'ENV_98W4','DIST_BJS5W','High','Adequate',47.6,344.400,75.40,6.20,78.800,'Low','Adequate',9.500,'Available'
'ENV_L6K4','DIST_OTIS6','Medium','Adequate',28.9,921.700,26.30,12.70,9.300,'High','Adequate',96.900,'Limited'
'ENV_8877','DIST_KQOTE','High','Critical',25.8,182.500,19.90,57.00,62.500,'Medium','Limited',90.100,'Limited'
'ENV_OM6D','DIST_8AAIU','High','Adequate',47.8,612.000,87.40,61.90,99.400,'Medium','Limited',66.000,'Limited'
'ENV_J1A3','DIST_LGE6R','High','Adequate',60.9,536.000,26.50,68.00,93.500,'Low','Adequate',1.700,'Available'
'ENV_40RB','DIST_UNIV4','Low','Adequate',62.0,844.900,67.90,51.50,11.700,'Medium','Limited',2.400,'Available'
'ENV_R0N0','DIST_WAMHB','Medium','Critical',85.5,159.900,82.20,49.90,56.100,'Medium','Limited',92.300,'Limited'
'ENV_5G9I','DIST_ZDZPV','Medium','Limited',61.7,589.600,89.80,64.40,72.600,'Medium','Limited',82.300,'Available'
'ENV_5RQK','DIST_EHQIN','High','Adequate',46.7,140.400,99.60,23.20,9.400,'Low','Critical',19.000,'Available'
'ENV_CIEN','DIST_3BRGU','Medium','Adequate',80.9,445.100,64.20,40.20,7.400,'High','Limited',28.300,'Available'
'ENV_M48N','DIST_MLGPV','High','Adequate',50.4,730.900,34.70,36.80,63.300,'High','Critical',74.400,'Available'
'ENV_MFH4','DIST_61FG5','High','Adequate',45.5,304.900,10.10,88.40,47.700,'Medium','Critical',35.700,'Limited'
'ENV_OSQA','DIST_7KRW1','Low','Critical',75.5,916.700,39.90,34.80,95.100,'High','Limited',99.800,'Available'
'ENV_QZVD','DIST_4R8AD','High','Adequate',46.7,170.400,12.50,82.50,97.600,'Medium','Limited',83.300,'Available'
'ENV_FV7F','DIST_N732S','High','Critical',71.8,809.000,59.70,21.30,10.300,'High','Critical',32.600,'Limited'
'ENV_L200','DIST_1AHFF','High','Adequate',98.4,528.100,74.50,33.00,47.300,'Medium','Adequate',48.400,'Available'
'ENV_1ZLW','DIST_GENII','Low','Limited',93.4,599.400,11.40,93.20,84.000,'Low','Limited',80.800,'Available'
'ENV_NBWR','DIST_YJKGX','Medium','Critical',23.3,475.200,89.00,11.40,24.700,'High','Critical',56.400,'Limited'
'ENV_JZ97','DIST_MQQRJ','High','Critical',74.7,721.600,93.00,71.30,93.300,'Low','Critical',80.900,'Available'
'ENV_4U6D','DIST_WNPAW','High','Critical',89.7,29.900,36.10,99.80,46.000,'Low','Critical',71.100,'Available'
'ENV_U72H','DIST_VNRFT','High','Limited',87.0,25.200,65.60,35.50,54.200,'Low','Adequate',47.300,'Limited'
'ENV_Q13B','DIST_ZUZIO','Low','Adequate',5.4,592.000,10.50,94.40,25.700,'High','Limited',72.400,'Available'
'ENV_PMT9','DIST_1CQCG','Low','Adequate',60.0,252.300,16.40,26.50,1.900,'Medium','Critical',35.200,'Available'
'ENV_FR56','DIST_LUHW9','Low','Adequate',76.1,924.900,64.10,93.90,20.800,'Medium','Adequate',91.400,'Limited'
'ENV_82JR','DIST_G79HI','Medium','Critical',82.9,878.800,11.30,17.40,13.000,'High','Adequate',29.100,'Limited'
'ENV_SB37','DIST_D5VXU','Medium','Adequate',43.8,455.700,99.80,27.90,23.300,'Low','Adequate',66.100,'Available'
'ENV_6M9N','DIST_0ZKCS','Medium','Critical',19.7,900.400,73.20,10.70,97.600,'Low','Limited',97.500,'Available'
'ENV_I2JP','DIST_1Y0YN','Low','Limited',15.8,100.000,12.90,69.10,85.800,'Medium','Critical',77.700,'Available'
'ENV_36WY','DIST_D8IX7','High','Critical',24.2,921.400,72.80,27.20,30.100,'Medium','Adequate',18.500,'Available'
