'SUP_4BZN3','DIST_SB6K7','HUB_HS0I','{"power": {"generators": 568, "fuel_liters": 86011.0}, "medical": 50590, "shelter": {"units": 7534, "blankets": 46019}, "essentials": {"food_tons": 479.400, "water_liters": 283596.000}, "hygiene_kits": 46981}'
'SUP_ZJ88H','DIST_PGACZ','HUB_UGZM','{"power": {"generators": 733, "fuel_liters": 59156.0}, "medical": 51298, "shelter": {"units": 1968, "blankets": 26671}, "essentials": {"food_tons": 187.100, "water_liters": 139603.000}, "hygiene_kits": 99277}'
'SUP_MCBWM','DIST_HJ1BQ','HUB_05ZL','{"power": {"generators": 881, "fuel_liters": 46825.0}, "medical": 15593, "shelter": {"units": 6390, "blankets": 78690}, "essentials": {"food_tons": 640.800, "water_liters": 878396.000}, "hygiene_kits": 31061}'
'SUP_6HX17','DIST_78UN6','HUB_VA2A','{"power": {"generators": 384, "fuel_liters": 60629.0}, "medical": 97429, "shelter": {"units": 4949, "blankets": 51129}, "essentials": {"food_tons": 136.100, "water_liters": 685923.000}, "hygiene_kits": 60837}'
'SUP_9Q4C5','DIST_BJS5W','HUB_1USM','{"power": {"generators": 921, "fuel_liters": 11124.0}, "medical": 6996, "shelter": {"units": 8275, "blankets": 87751}, "essentials": {"food_tons": 628.600, "water_liters": 561913.000}, "hygiene_kits": 27094}'
'SUP_C3JWA','DIST_OTIS6','HUB_PYMM','{"power": {"generators": 167, "fuel_liters": 87784.0}, "medical": 2974, "shelter": {"units": 6402, "blankets": 99312}, "essentials": {"food_tons": 877.100, "water_liters": 772127.000}, "hygiene_kits": 66730}'
'SUP_45BAD','DIST_KQOTE','HUB_ZR0U','{"power": {"generators": 340, "fuel_liters": 13657.0}, "medical": 48487, "shelter": {"units": 5180, "blankets": 94729}, "essentials": {"food_tons": 592.100, "water_liters": 186842.000}, "hygiene_kits": 39127}'
'SUP_ZZDDR','DIST_8AAIU','HUB_44KU','{"power": {"generators": 460, "fuel_liters": 66186.0}, "medical": 75095, "shelter": {"units": 7109, "blankets": 5870}, "essentials": {"food_tons": 753.500, "water_liters": 245412.000}, "hygiene_kits": 98929}'
'SUP_BZGYW','DIST_LGE6R','HUB_39VO','{"power": {"generators": 645, "fuel_liters": 80150.0}, "medical": 53014, "shelter": {"units": 8424, "blankets": 37911}, "essentials": {"food_tons": 962.100, "water_liters": 615560.000}, "hygiene_kits": 32767}'
'SUP_UHC58','DIST_UNIV4','HUB_GDAW','{"power": {"generators": 976, "fuel_liters": 32989.0}, "medical": 95838, "shelter": {"units": 5266, "blankets": 42252}, "essentials": {"food_tons": 475.400, "water_liters": 465161.000}, "hygiene_kits": 26140}'
'SUP_E2KYJ','DIST_WAMHB','HUB_2RCL','{"power": {"generators": 366, "fuel_liters": 96991.0}, "medical": 20450, "shelter": {"units": 1007, "blankets": 18992}, "essentials": {"food_tons": 412.300, "water_liters": 612964.000}, "hygiene_kits": 35592}'
'SUP_HER3Y','DIST_ZDZPV','HUB_39T2','{"power": {"generators": 11, "fuel_liters": 76467.0}, "medical": 21739, "shelter": {"units": 1328, "blankets": 11819}, "essentials": {"food_tons": 535.300, "water_liters": 259732.000}, "hygiene_kits": 34537}'
'SUP_XIODY','DIST_EHQIN','HUB_4CE5','{"power": {"generators": 418, "fuel_liters": 55468.0}, "medical": 56439, "shelter": {"units": 6801, "blankets": 3946}, "essentials": {"food_tons": 307.300, "water_liters": 667623.000}, "hygiene_kits": 26086}'
'SUP_W16DL','DIST_3BRGU','HUB_N9Y0','{"power": {"generators": 927, "fuel_liters": 96030.0}, "medical": 18317, "shelter": {"units": 9967, "blankets": 91857}, "essentials": {"food_tons": 953.600, "water_liters": 945156.000}, "hygiene_kits": 88513}'
'SUP_V1EY0','DIST_MLGPV','HUB_Y8GX','{"power": {"generators": 382, "fuel_liters": 31535.0}, "medical": 44728, "shelter": {"units": 4389, "blankets": 10839}, "essentials": {"food_tons": 150.500, "water_liters": 821122.000}, "hygiene_kits": 41751}'
'SUP_EQXK5','DIST_61FG5','HUB_CTVZ','{"power": {"generators": 442, "fuel_liters": 82225.0}, "medical": 27003, "shelter": {"units": 7771, "blankets": 46511}, "essentials": {"food_tons": 520.500, "water_liters": 521065.000}, "hygiene_kits": 35021}'
'SUP_CVXWP','DIST_7KRW1','HUB_SZPM','{"power": {"generators": 576, "fuel_liters": 65486.0}, "medical": 72477, "shelter": {"units": 7617, "blankets": 65382}, "essentials": {"food_tons": 577.800, "water_liters": 300749.000}, "hygiene_kits": 36341}'
'SUP_SHMOV','DIST_4R8AD','HUB_2NLX','{"power": {"generators": 474, "fuel_liters": 41512.0}, "medical": 15624, "shelter": {"units": 3924, "blankets": 4252}, "essentials": {"food_tons": 210.200, "water_liters": 139125.000}, "hygiene_kits": 10674}'
'SUP_BPV53','DIST_N732S','HUB_S6LM','{"power": {"generators": 590, "fuel_liters": 19365.0}, "medical": 67098, "shelter": {"units": 7016, "blankets": 90429}, "essentials": {"food_tons": 32.300, "water_liters": 270202.000}, "hygiene_kits": 62122}'
'SUP_XNP6L','DIST_1AHFF','HUB_4G3Z','{"power": {"generators": 828, "fuel_liters": 84329.0}, "medical": 68893, "shelter": {"units": 5512, "blankets": 95758}, "essentials": {"food_tons": 271.100, "water_liters": 867212.000}, "hygiene_kits": 83421}'
'SUP_VAQ3E','DIST_GENII','HUB_9L99','{"power": {"generators": 272, "fuel_liters": 36529.0}, "medical": 19358, "shelter": {"units": 6980, "blankets": 72752}, "essentials": {"food_tons": 769.300, "water_liters": 115844.000}, "hygiene_kits": 42444}'
'SUP_5YAHG','DIST_YJKGX','HUB_CMI0','{"power": {"generators": 920, "fuel_liters": 22888.0}, "medical": 17786, "shelter": {"units": 2894, "blankets": 71678}, "essentials": {"food_tons": 175.900, "water_liters": 361091.000}, "hygiene_kits": 65381}'
'SUP_YMVX8','DIST_MQQRJ','HUB_YTKE','{"power": {"generators": 845, "fuel_liters": 28898.0}, "medical": 65895, "shelter": {"units": 4933, "blankets": 81422}, "essentials": {"food_tons": 869.500, "water_liters": 225455.000}, "hygiene_kits": 57760}'
'SUP_PKJSM','DIST_WNPAW','HUB_3UH7','{"power": {"generators": 304, "fuel_liters": 57700.0}, "medical": 14037, "shelter": {"units": 2381, "blankets": 17318}, "essentials": {"food_tons": 618.700, "water_liters": 85833.000}, "hygiene_kits": 38267}'
'SUP_QEW6X','DIST_VNRFT','HUB_VZF4','{"power": {"generators": 789, "fuel_liters": 60572.0}, "medical": 23349, "shelter": {"units": 3989, "blankets": 14582}, "essentials": {"food_tons": 586.300, "water_liters": 565527.000}, "hygiene_kits": 28728}'
'SUP_M8LZL','DIST_ZUZIO','HUB_GE7Y','{"power": {"generators": 730, "fuel_liters": 95267.0}, "medical": 21336, "shelter": {"units": 906, "blankets": 81067}, "essentials": {"food_tons": 144.700, "water_liters": 296200.000}, "hygiene_kits": 56419}'
'SUP_NEDYV','DIST_1CQCG','HUB_2SEM','{"power": {"generators": 214, "fuel_liters": 72301.0}, "medical": 8328, "shelter": {"units": 6607, "blankets": 44503}, "essentials": {"food_tons": 865.100, "water_liters": 100940.000}, "hygiene_kits": 75390}'
'SUP_E3XPV','DIST_LUHW9','HUB_XMWV','{"power": {"generators": 715, "fuel_liters": 65029.0}, "medical": 30983, "shelter": {"units": 570, "blankets": 5886}, "essentials": {"food_tons": 921.600, "water_liters": 331112.000}, "hygiene_kits": 15100}'
'SUP_QKQMS','DIST_G79HI','HUB_LZP0','{"power": {"generators": 747, "fuel_liters": 43025.0}, "medical": 91951, "shelter": {"units": 5188, "blankets": 88860}, "essentials": {"food_tons": 824.400, "water_liters": 750237.000}, "hygiene_kits": 81130}'
'SUP_D5SJU','DIST_D5VXU','HUB_QVSW','{"power": {"generators": 114, "fuel_liters": 93125.0}, "medical": 79911, "shelter": {"units": 6312, "blankets": 95852}, "essentials": {"food_tons": 177.600, "water_liters": 786107.000}, "hygiene_kits": 58018}'
'SUP_KIUUI','DIST_0ZKCS','HUB_EZ9P','{"power": {"generators": 926, "fuel_liters": 67110.0}, "medical": 72538, "shelter": {"units": 3217, "blankets": 36697}, "essentials": {"food_tons": 625.500, "water_liters": 761213.000}, "hygiene_kits": 36176}'
'SUP_7U64Y','DIST_1Y0YN','HUB_1RLX','{"power": {"generators": 696, "fuel_liters": 16781.0}, "medical": 40936, "shelter": {"units": 2094, "blankets": 54832}, "essentials": {"food_tons": 426.400, "water_liters": 452391.000}, "hygiene_kits": 71232}'
'SUP_5PTM8','DIST_D8IX7','HUB_52DY','{"power": {"generators": 514, "fuel_liters": 49851.0}, "medical": 49859, "shelter": {"units": 7072, "blankets": 37759}, "essentials": {"food_tons": 461.500, "water_liters": 465913.000}, "hygiene_kits": 94071}'
'SUP_DKUF4','DIST_CYPNX','HUB_8C70','{"power": {"generators": 702, "fuel_liters": 47121.0}, "medical": 16471, "shelter": {"units": 3287, "blankets": 43449}, "essentials": {"food_tons": 293.100, "water_liters": 642360.000}, "hygiene_kits": 82089}'
'SUP_UMBU8','DIST_U3VET','HUB_GA95','{"power": {"generators": 108, "fuel_liters": 25795.0}, "medical": 15788, "shelter": {"units": 2244, "blankets": 24931}, "essentials": {"food_tons": 325.400, "water_liters": 408984.000}, "hygiene_kits": 49291}'
'SUP_D36ZU','DIST_SJW8E','HUB_K63A','{"power": {"generators": 261, "fuel_liters": 21792.0}, "medical": 69870, "shelter": {"units": 173, "blankets": 37274}, "essentials": {"food_tons": 285.700, "water_liters": 326323.000}, "hygiene_kits": 85151}'
'SUP_PMWGK','DIST_JIICP','HUB_FEKY','{"power": {"generators": 968, "fuel_liters": 6626.0}, "medical": 60805, "shelter": {"units": 183, "blankets": 18415}, "essentials": {"food_tons": 751.400, "water_liters": 193611.000}, "hygiene_kits": 73715}'
