'CNT_QDB9A   ','SESS_H5R5F  ',47473,66.324,56.535,8.43,0.8266,77.650,'2',4.734,'Random',1.55,'Spam',0.148,'SomeRate_N2X',1.29,0.629,0.5905
'CNT_TAPIN   ','SESS_331DO  ',23461,84.183,90.792,1.77,0.9615,10.859,'4',9.487,'Random',4.05,'Targeted',0.192,'SomeRate_DWW',9.78,0.477,0.6846
'CNT_58HX0   ','SESS_LYBFV  ',41331,24.803,60.072,3.65,0.2437,60.285,'1',2.685,'Normal',5.82,'Spam',0.636,'SomeRate_BYZ',2.84,0.895,0.3091
'CNT_TNUTM   ','SESS_CYLMN  ',18221,58.383,64.472,9.19,0.1036,87.614,'5',7.591,'Normal',2.89,'Random',0.401,'SomeRate_PT6',8.71,0.119,0.2106
'CNT_KLNX6   ','SESS_IQ7VQ  ',25615,5.509,95.676,3.96,0.0298,34.410,'3',2.528,'Normal',2.96,'Random',0.544,'SomeRate_MTA',0.96,0.796,0.8533
'CNT_RGCQ6   ','SESS_PU720  ',1703,46.915,63.643,0.52,0.1707,3.162,'1',1.894,'Normal',0.69,'Random',0.744,'SomeRate_515',2.98,0.595,0.9547
'CNT_TGRJS   ','SESS_8K4Z0  ',18776,29.736,66.757,1.72,0.8255,56.476,'1',3.701,'Random',0.54,'Random',0.050,'SomeRate_SNA',8.99,0.582,0.2642
'CNT_S1SBI   ','SESS_VLU12  ',26574,93.214,75.391,7.39,0.4335,46.319,'5',4.921,'Spam',3.46,'Random',0.337,'SomeRate_KOT',3.21,0.462,0.4275
'CNT_31NPG   ','SESS_XE1YR  ',12479,23.832,93.258,7.79,0.5219,87.455,'2',1.421,'Trending',8.97,'Random',0.072,'SomeRate_SM2',6.63,0.574,0.4398
'CNT_0F0A1   ','SESS_NNERM  ',42638,65.642,49.416,5.40,0.5140,29.689,'3',2.415,'Random',7.22,'Random',0.152,'SomeRate_NLW',1.80,0.339,0.2240
'CNT_EKL1Z   ','SESS_3IOLM  ',20462,22.887,22.291,7.55,0.8871,55.317,'5',8.187,'Trending',5.83,'Random',0.141,'SomeRate_J4G',4.60,0.892,0.9760
'CNT_IRXW9   ','SESS_NA3I3  ',33277,57.906,82.631,8.39,0.0895,86.333,'4',6.895,'Normal',3.66,'Random',0.970,'SomeRate_P6Z',5.97,0.427,0.6743
'CNT_MOEWU   ','SESS_7WDRX  ',47580,36.346,34.095,1.47,0.3560,75.421,'1',0.596,'Random',5.74,'Random',0.189,'SomeRate_UN7',1.90,0.745,0.9205
'CNT_LR31G   ','SESS_F2XBQ  ',15274,91.643,69.762,1.18,0.4906,56.663,'4',8.120,'Spam',7.18,'Targeted',0.407,'SomeRate_BSG',9.27,0.959,0.2012
'CNT_T8IDD   ','SESS_R4YLZ  ',15304,69.253,14.037,3.32,0.0407,28.490,'4',0.677,'Normal',5.53,'Targeted',0.455,'SomeRate_A9L',6.72,0.122,0.5594
'CNT_4TLV1   ','SESS_P5B1P  ',27258,51.333,73.597,0.07,0.2078,4.006,'4',0.361,'Normal',6.49,'Normal',0.483,'SomeRate_L80',6.46,0.357,0.1707
'CNT_KN8S4   ','SESS_WZATT  ',45950,44.196,96.806,8.39,0.8511,71.964,'2',2.107,'Normal',8.86,'Targeted',0.455,'SomeRate_T7G',1.68,0.112,0.3717
'CNT_006YJ   ','SESS_JZFKT  ',20320,64.755,56.626,7.55,0.2319,13.350,'1',3.950,'Normal',1.15,'Spam',0.617,'SomeRate_RAH',1.39,0.421,0.3431
'CNT_IQ6VW   ','SESS_QANC2  ',4600,82.690,94.224,0.66,0.3467,48.202,'5',9.100,'Normal',9.22,'Random',0.441,'SomeRate_XT6',7.46,0.099,0.8947
'CNT_9Z29S   ','SESS_0Q459  ',6142,48.540,10.057,9.71,0.8646,82.419,'2',6.835,'Trending',8.04,'Targeted',0.566,'SomeRate_TTV',2.50,0.116,0.4394
'CNT_LDUDV   ','SESS_QXB3R  ',13429,86.653,91.443,4.50,0.1109,46.486,'3',9.533,'Normal',6.20,'Targeted',0.243,'SomeRate_UHH',3.20,0.918,0.2778
'CNT_VGTYH   ','SESS_YW8N6  ',29007,31.408,7.216,8.47,0.6077,39.340,'4',9.912,'Normal',2.49,'Targeted',0.109,'SomeRate_BLM',2.64,0.707,0.7659
'CNT_MZ24W   ','SESS_DQRR2  ',26061,70.845,44.342,4.74,0.9266,5.587,'2',5.825,'Trending',2.68,'Targeted',0.694,'SomeRate_WYO',2.25,0.981,0.5332
'CNT_K478B   ','SESS_BSDWV  ',28532,11.413,78.866,0.22,0.3215,12.621,'5',5.982,'Trending',3.24,'Normal',0.444,'SomeRate_PU9',1.27,0.781,0.0738
