'MSG_ZX7IM   ','CNT_QDB9A   ','NET_G8MVO   ',0.474,5426.79,6.53,'Instant',0.802,0.6556,0.719,0.39,'KPM_M3J',0.6181
'MSG_OZPQO   ','CNT_TAPIN   ','NET_I9HFW   ',0.247,1345.08,7.11,'Random',0.245,0.0221,0.731,0.06,'KPM_PZV',0.3439
'MSG_IPDS6   ','CNT_58HX0   ','NET_2PK29   ',0.234,4061.99,93.86,'Random',0.568,0.7835,0.092,0.96,'KPM_XC2',0.1375
'MSG_A00L8   ','CNT_TNUTM   ','NET_S4RMS   ',0.753,5082.37,79.81,'Natural',0.859,0.8071,0.120,0.96,'KPM_BWL',0.7500
'MSG_T4Q4J   ','CNT_KLNX6   ','NET_BRGYJ   ',0.009,734.41,26.62,'Instant',0.351,0.3342,0.178,0.01,'KPM_798',0.5525
'MSG_EAXRK   ','CNT_RGCQ6   ','NET_EI8UK   ',0.722,3002.82,25.74,'Natural',0.896,0.3954,0.108,0.94,'KPM_3GH',0.1125
'MSG_YH5B0   ','CNT_TGRJS   ','NET_7SQ2S   ',0.525,1294.63,46.36,'Delayed',0.860,0.8463,0.249,0.51,'KPM_9B0',0.5876
'MSG_UW9XY   ','CNT_S1SBI   ','NET_5UQH8   ',0.069,1432.43,71.58,'Delayed',0.960,0.9550,0.536,0.39,'KPM_YP5',0.3237
'MSG_MVH15   ','CNT_31NPG   ','NET_ZDGPG   ',0.302,2971.32,34.40,'Instant',0.035,0.9382,0.436,0.94,'KPM_3XY',0.1001
'MSG_MVCMK   ','CNT_0F0A1   ','NET_4ZGRE   ',0.256,9873.80,91.68,'Instant',0.508,0.4674,0.452,0.43,'KPM_QAG',0.6155
'MSG_NV26S   ','CNT_EKL1Z   ','NET_SV5HY   ',0.092,8604.87,95.44,'Natural',0.001,0.5588,0.818,0.86,'KPM_ORB',0.5288
'MSG_QS7ZY   ','CNT_IRXW9   ','NET_GHPA5   ',0.330,3998.80,60.31,'Instant',0.173,0.5448,0.511,0.82,'KPM_MT8',0.8685
'MSG_WIVK7   ','CNT_MOEWU   ','NET_QEEO2   ',0.388,2294.78,37.56,'Random',0.163,0.5636,0.296,0.65,'KPM_49N',0.5195
'MSG_YM56L   ','CNT_LR31G   ','NET_EU1ET   ',0.627,9521.03,87.27,'Natural',0.354,0.6026,0.797,0.67,'KPM_KYD',0.7278
'MSG_DMLA2   ','CNT_T8IDD   ','NET_AWBJE   ',0.828,8769.05,91.82,'Random',0.614,0.7488,0.247,0.95,'KPM_D5Y',0.5545
'MSG_3N6S3   ','CNT_4TLV1   ','NET_1E7Q4   ',0.537,6048.98,52.24,'Delayed',0.407,0.5101,0.356,0.91,'KPM_MFI',0.0718
'MSG_9JH5K   ','CNT_KN8S4   ','NET_FW15I   ',0.570,2082.88,22.92,'Natural',0.487,0.3288,0.649,0.39,'KPM_FSW',0.1633
'MSG_IUCEN   ','CNT_006YJ   ','NET_EREP2   ',0.663,632.49,69.82,'Instant',0.914,0.7922,0.856,0.69,'KPM_466',0.8705
'MSG_KDVYM   ','CNT_IQ6VW   ','NET_0NHCO   ',0.315,2800.46,80.45,'Instant',0.857,0.0487,0.244,0.67,'KPM_1F3',0.7145
'MSG_6RAIZ   ','CNT_9Z29S   ','NET_50P6T   ',0.645,9977.72,17.28,'Random',0.329,0.2291,0.031,0.37,'KPM_9MH',0.6735
'MSG_YJNIU   ','CNT_LDUDV   ','NET_A6D7Z   ',0.741,8154.34,22.32,'Instant',0.920,0.1264,0.638,0.60,'KPM_M2Y',0.5801
'MSG_MBA1M   ','CNT_VGTYH   ','NET_5UZ3R   ',0.854,5641.78,43.30,'Random',0.476,0.2007,0.719,0.30,'KPM_94H',0.1673
'MSG_5NS2J   ','CNT_MZ24W   ','NET_2N64J   ',0.853,549.31,37.17,'Instant',0.973,0.3356,0.764,0.65,'KPM_L0R',0.2201
'MSG_0J7MB   ','CNT_K478B   ','NET_DPSSM   ',0.846,717.07,39.62,'Random',0.740,0.6910,0.994,0.47,'KPM_MRQ',0.1809
'MSG_67ZDS   ','CNT_U6BST   ','NET_Q8UEN   ',0.852,3774.13,24.45,'Random',0.303,0.8342,0.183,0.27,'KPM_LJM',0.1492
'MSG_Z838S   ','CNT_0B4YZ   ','NET_GLQMG   ',0.206,6582.89,60.28,'Delayed',0.552,0.9060,0.780,0.99,'KPM_KZE',0.0662
'MSG_MS32I   ','CNT_EYJTT   ','NET_PVOYE   ',0.582,8767.48,65.23,'Instant',0.262,0.7973,0.993,0.14,'KPM_G35',0.7035
'MSG_ZLS12   ','CNT_5C5P8   ','NET_KNGAT   ',0.621,9606.99,84.77,'Instant',0.299,0.2702,0.580,0.72,'KPM_8WX',0.0669
'MSG_ZMP2E   ','CNT_ITIIB   ','NET_1L8GH   ',0.192,8540.60,35.07,'Delayed',0.099,0.7565,0.923,0.15,'KPM_EK4',0.0130
'MSG_ZF903   ','CNT_W0Q46   ','NET_L8L4T   ',0.428,5434.68,56.98,'Random',0.762,0.8587,0.109,0.88,'KPM_1IC',0.0138
'MSG_UFJ7M   ','CNT_R0DW5   ','NET_G7K7J   ',0.957,9157.25,9.36,'Random',0.377,0.0419,0.828,0.51,'KPM_CL6',0.0416
'MSG_YD8YZ   ','CNT_C7CXW   ','NET_T6LGR   ',0.451,1210.13,71.65,'Natural',0.282,0.5524,0.219,0.85,'KPM_KKK',0.4563
'MSG_HEZAG   ','CNT_Y5EGY   ','NET_L9RW9   ',0.368,4105.41,26.85,'Natural',0.070,0.6579,0.146,0.83,'KPM_VSW',0.8958
'MSG_WT68M   ','CNT_EWG8V   ','NET_X56XQ   ',0.262,86.65,99.77,'Natural',0.146,0.4441,0.529,0.55,'KPM_0O3',0.3959
'MSG_HFO1Y   ','CNT_MPZJM   ','NET_QF0FG   ',0.641,2894.51,75.41,'Natural',0.160,0.0241,0.986,0.17,'KPM_MF0',0.2630
'MSG_BHH42   ','CNT_X09XA   ','NET_BG890   ',0.330,2473.66,50.70,'Natural',0.192,0.2221,0.526,0.79,'KPM_6HG',0.4378
'MSG_AG4IZ   ','CNT_I8WMB   ','NET_WQFJR   ',0.194,8313.34,58.94,'Instant',0.000,0.3744,0.608,0.39,'KPM_BY3',0.1946
'MSG_WGWCR   ','CNT_933KH   ','NET_7UW0Q   ',0.566,6230.21,76.90,'Delayed',0.902,0.1785,0.523,0.15,'KPM_ZOM',0.7436
'MSG_SIZTR   ','CNT_Z90AX   ','NET_IAY7I   ',0.529,2429.04,65.11,'Delayed',0.699,0.0823,0.243,0.06,'KPM_4YZ',0.0335
'MSG_LMVA3   ','CNT_TGV55   ','NET_0POLE   ',0.162,1926.22,51.85,'Delayed',0.485,0.0391,0.537,0.30,'KPM_KK2',0.7423
'MSG_K6ZMU   ','CNT_JSFDG   ','NET_FZYF2   ',0.907,4141.63,0.01,'Natural',0.913,0.8038,0.810,0.67,'KPM_OWC',0.1451
'MSG_C80UI   ','CNT_A9LK3   ','NET_8PL55   ',0.426,1491.25,97.67,'Random',0.510,0.8881,0.943,0.70,'KPM_L0C',0.0175
'MSG_G73JT   ','CNT_DAE5L   ','NET_MQ3PS   ',0.567,8740.08,69.38,'Random',0.166,0.5859,0.856,0.16,'KPM_QNJ',0.7812
'MSG_ODDYT   ','CNT_RKN21   ','NET_RL71L   ',0.498,7517.51,58.60,'Instant',0.704,0.6081,0.386,0.29,'KPM_RLA',0.7291
'MSG_9ROS2   ','CNT_E1EYZ   ','NET_D5L10   ',0.164,9339.61,47.81,'Random',0.861,0.6458,0.206,0.55,'KPM_WF1',0.6803
'MSG_6KNWE   ','CNT_CO2N8   ','NET_MR007   ',0.023,6198.34,24.97,'Random',0.441,0.8921,0.051,0.63,'KPM_JZ4',0.3962
'MSG_ME2I8   ','CNT_TQH7V   ','NET_3V6F2   ',0.576,4436.14,19.93,'Instant',0.823,0.4165,0.559,0.95,'KPM_C1B',0.2618
'MSG_YN66W   ','CNT_YOBOM   ','NET_1L9QT   ',0.457,8946.57,89.20,'Delayed',0.341,0.2993,0.865,0.19,'KPM_76G',0.7009
'MSG_QZEOO   ','CNT_KPXP2   ','NET_XWA4S   ',0.584,9596.72,34.09,'Random',0.008,0.8183,0.887,0.70,'KPM_FGT',0.3040
'MSG_BSEW5   ','CNT_CKBK8   ','NET_Q9YJV   ',0.065,2671.15,76.46,'Random',0.746,0.5517,0.752,0.20,'KPM_4S1',0.4366
'MSG_PK7QW   ','CNT_CG4JY   ','NET_FLLCR   ',0.257,5678.22,45.42,'Natural',0.041,0.4536,0.273,0.33,'KPM_K5J',0.4228
'MSG_XU8Y6   ','CNT_04EZO   ','NET_VHIPI   ',0.934,6253.19,12.50,'Delayed',0.024,0.5677,0.657,0.49,'KPM_VYO',0.7907
'MSG_VOBTH   ','CNT_GV10S   ','NET_TQS8E   ',0.487,7084.09,44.87,'Delayed',0.085,0.0186,0.864,0.06,'KPM_5W4',0.4354
'MSG_21N49   ','CNT_YP8HY   ','NET_VW3WC   ',0.997,4843.73,7.24,'Natural',0.517,0.3949,0.965,0.47,'KPM_MKW',0.2463
'MSG_HSAZ7   ','CNT_2K38T   ','NET_L6XC3   ',0.852,3037.86,60.24,'Instant',0.723,0.9226,0.335,0.60,'KPM_S1M',0.6510
'MSG_8RM8D   ','CNT_XGB85   ','NET_7MRRC   ',0.913,7376.22,45.65,'Random',0.740,0.9464,0.463,0.87,'KPM_4MO',0.3429
'MSG_RBCAM   ','CNT_5K6HI   ','NET_TZ0SW   ',0.782,1713.13,82.80,'Natural',0.655,0.3902,0.523,0.91,'KPM_OQ9',0.2279
'MSG_OE093   ','CNT_F9UI6   ','NET_IRHZ1   ',0.265,2258.82,92.03,'Random',0.340,0.9080,0.899,0.04,'KPM_JUN',0.0077
'MSG_1KNQ1   ','CNT_RJG75   ','NET_1SDCB   ',0.309,3727.96,13.98,'Random',0.678,0.3833,0.314,0.49,'KPM_TE5',0.0226
'MSG_2M69L   ','CNT_RZ59F   ','NET_8OUOA   ',0.954,3527.66,11.44,'Instant',0.585,0.4205,0.206,0.17,'KPM_FXP',0.9743
'MSG_2LD94   ','CNT_CH0Z7   ','NET_X0EH4   ',0.050,569.24,59.00,'Instant',0.078,0.0229,0.277,0.44,'KPM_CBR',0.3258
'MSG_1BIJ6   ','CNT_1DH8S   ','NET_N7Q2Q   ',0.877,3840.48,48.27,'Instant',0.670,0.7459,0.554,0.40,'KPM_49V',0.2031
'MSG_0R20U   ','CNT_OXLBP   ','NET_0BGZ0   ',0.776,3513.25,24.66,'Delayed',0.373,0.6312,0.760,0.27,'KPM_RVH',0.8555
'MSG_N2ZIV   ','CNT_612LV   ','NET_FBNS7   ',0.002,4712.16,80.26,'Random',0.824,0.5033,0.056,0.77,'KPM_6JC',0.9006
'MSG_OHQOZ   ','CNT_I8RGW   ','NET_IEFI8   ',0.275,6016.13,46.11,'Delayed',0.125,0.2214,0.411,0.64,'KPM_VJ5',0.1162
'MSG_OVE2Z   ','CNT_X0NP0   ','NET_6E4LF   ',0.942,4992.22,48.02,'Instant',0.046,0.4992,0.920,0.52,'KPM_5LQ',0.0509
'MSG_ZFIYD   ','CNT_U8ZRD   ','NET_FGGH6   ',0.950,4511.79,4.89,'Delayed',0.985,0.3066,0.275,0.90,'KPM_2N9',0.3911
'MSG_5FU27   ','CNT_R3J1D   ','NET_HX0CA   ',0.007,4810.83,72.93,'Random',0.624,0.6591,0.997,0.19,'KPM_KJN',0.6139
'MSG_35T6I   ','CNT_XHG31   ','NET_ANJAN   ',0.489,7190.73,23.03,'Delayed',0.673,0.8086,0.902,0.63,'KPM_I2I',0.8824
