'TECH_TYVED  ','NET_G8MVO   ','MSG_ZX7IM   ','192.168.31.102',0.472,23,0.1837,0,'Yes',14,NULL,0.753,0.81378
'TECH_M7PND  ','NET_I9HFW   ','MSG_OZPQO   ','192.168.80.126',0.257,25,0.9819,6,'No',20,NULL,0.545,0.65483
'TECH_9KWQR  ','NET_2PK29   ','MSG_IPDS6   ','192.168.14.134',0.903,7,0.1847,6,'Yes',3,NULL,0.667,0.98360
'TECH_I88JW  ','NET_S4RMS   ','MSG_A00L8   ','192.168.46.130',0.574,18,0.0140,8,'No',20,NULL,0.218,0.62294
'TECH_1F12C  ','NET_BRGYJ   ','MSG_T4Q4J   ','192.168.186.197',0.084,37,0.1165,9,'No',4,NULL,0.171,0.05384
'TECH_RIID7  ','NET_EI8UK   ','MSG_EAXRK   ','192.168.138.129',0.860,26,0.3063,9,'Yes',2,NULL,1.000,0.32902
'TECH_69X2J  ','NET_7SQ2S   ','MSG_YH5B0   ','192.168.12.17',0.992,11,0.5019,9,'Suspected',19,NULL,0.717,0.03061
'TECH_FXK73  ','NET_5UQH8   ','MSG_UW9XY   ','192.168.111.87',0.979,30,0.2318,10,'No',20,NULL,0.879,0.08341
'TECH_VK4HG  ','NET_ZDGPG   ','MSG_MVH15   ','192.168.65.250',0.391,44,0.0888,10,'Yes',1,NULL,0.919,0.87560
'TECH_17OJF  ','NET_4ZGRE   ','MSG_MVCMK   ','192.168.48.119',0.741,35,0.1678,10,'Yes',16,NULL,0.222,0.44700
'TECH_ECAP0  ','NET_SV5HY   ','MSG_NV26S   ','192.168.218.200',0.211,36,0.8834,8,'Suspected',13,NULL,0.963,0.32204
'TECH_KQZVD  ','NET_GHPA5   ','MSG_QS7ZY   ','192.168.201.125',0.424,8,0.1238,4,'Suspected',17,NULL,0.301,0.25721
'TECH_Z52V2  ','NET_QEEO2   ','MSG_WIVK7   ','192.168.169.203',0.332,46,0.8737,8,'Suspected',13,NULL,0.388,0.42135
'TECH_U8I9P  ','NET_EU1ET   ','MSG_YM56L   ','192.168.225.56',0.763,49,0.1464,2,'No',6,NULL,0.184,0.64077
'TECH_LMSDE  ','NET_AWBJE   ','MSG_DMLA2   ','192.168.53.145',0.135,48,0.9323,3,'Yes',11,NULL,0.831,0.88091
'TECH_XDK3Z  ','NET_1E7Q4   ','MSG_3N6S3   ','192.168.201.238',0.498,9,0.2229,3,'Suspected',3,NULL,0.691,0.52132
'TECH_TMDEX  ','NET_FW15I   ','MSG_9JH5K   ','192.168.218.247',0.314,30,0.2029,0,'Yes',2,NULL,0.638,0.68133
'TECH_WRACH  ','NET_EREP2   ','MSG_IUCEN   ','192.168.218.28',0.785,50,0.1779,9,'No',5,NULL,0.033,0.49000
'TECH_7Z3O2  ','NET_0NHCO   ','MSG_KDVYM   ','192.168.9.151',0.342,49,0.2039,7,'Yes',20,NULL,0.453,0.01993
'TECH_RLPR7  ','NET_50P6T   ','MSG_6RAIZ   ','192.168.108.98',0.393,4,0.0330,9,'Yes',2,NULL,0.451,0.49620
'TECH_HEBPT  ','NET_A6D7Z   ','MSG_YJNIU   ','192.168.130.148',0.271,5,0.3523,9,'Yes',5,NULL,0.445,0.89276
'TECH_YGB5E  ','NET_5UZ3R   ','MSG_MBA1M   ','192.168.95.158',0.374,41,0.4405,10,'No',16,NULL,0.359,0.37702
'TECH_4I8OZ  ','NET_2N64J   ','MSG_5NS2J   ','192.168.39.143',0.563,4,0.5073,5,'No',9,NULL,0.062,0.27669
'TECH_ZSO0E  ','NET_DPSSM   ','MSG_0J7MB   ','192.168.232.104',0.339,10,0.6159,9,'No',3,NULL,0.884,0.86278
'TECH_L0OWU  ','NET_Q8UEN   ','MSG_67ZDS   ','192.168.82.244',0.592,10,0.1285,9,'Yes',18,NULL,0.836,0.98820
'TECH_JUZ72  ','NET_GLQMG   ','MSG_Z838S   ','192.168.152.101',0.340,1,0.0594,6,'No',2,NULL,0.416,0.46293
