'INT_X42CX3','PHYS_GHOT80','DEV_RQ33OK','true','true','false','true','Basic',4,5,'Advanced',7,7.1,0.11,94.9,4.8,17.5,'Hybrid',95.2,'Standard',98.5
'INT_UHLDYQ','PHYS_3F7AUT','DEV_UPPRRQ','false','true','false','false','Advanced',4,4,'None',10,7.2,0.19,94.4,2.5,16.7,'Standard',99.9,'Standard',98.9
'INT_HTXID6','PHYS_2Q0KFG','DEV_E2VRHA','true','false','true','true','None',1,4,'None',10,6.6,0.13,93.9,3.1,18.4,'Standard',92.3,'Magnetic',93.9
'INT_784CXN','PHYS_LMD7GT','DEV_3WOOVM','false','true','false','true','Advanced',10,5,'None',1,5.5,0.02,92.0,3.1,15.5,'Standard',97.8,'Standard',90.3
'INT_DTLYDH','PHYS_GE110Z','DEV_QCDP8I','true','false','false','true','Basic',8,5,'None',7,5.2,0.17,99.1,3.5,18.8,'Standard',95.3,'Standard',93.4
'INT_IA0YR3','PHYS_JXJTXG','DEV_4LUGO5','true','false','true','false','Basic',1,2,'Advanced',2,6.4,0.09,96.7,4.0,17.3,'Hybrid',99.5,'Hall Effect',98.4
'INT_51B01D','PHYS_VK4ZBN','DEV_2GUB4J','false','false','true','false','Advanced',5,1,'Basic',7,8.9,0.10,99.9,3.0,12.2,'Hybrid',90.0,'Hall Effect',91.7
'INT_60E90R','PHYS_IPXX0M','DEV_W2S3ZH','true','true','false','true','Advanced',3,2,'Advanced',4,8.8,0.11,98.6,4.1,16.7,'Floating',90.7,'Standard',96.0
'INT_S453PX','PHYS_DUB44J','DEV_1NC9JB','true','true','true','true','Advanced',3,2,'None',7,7.0,0.13,98.3,4.7,19.0,'Hybrid',95.6,'Hall Effect',92.7
'INT_BDDM4G','PHYS_QTVC68','DEV_GUWPMM','false','true','false','false','Advanced',9,1,'Advanced',10,3.2,0.01,98.3,4.2,14.6,'Standard',96.5,'Hall Effect',94.2
'INT_INNW82','PHYS_Q3MZHL','DEV_1HW85J','false','false','true','true','Advanced',7,2,'Basic',9,5.1,0.03,92.2,2.2,12.7,'Hybrid',97.0,'Magnetic',96.7
'INT_7AMOFR','PHYS_0CTFH7','DEV_GCO57C','true','false','false','false','None',8,5,'Advanced',5,3.9,0.06,92.6,3.2,12.1,'Hybrid',91.5,'Magnetic',93.1
'INT_0T8IUN','PHYS_9EK5H9','DEV_MWUZD4','true','true','false','false','Basic',4,3,'Advanced',9,2.4,0.11,99.1,3.9,16.0,'Standard',99.3,'Hall Effect',97.0
'INT_L8TDW1','PHYS_H7V0ZT','DEV_90S2JO','true','false','false','true','None',5,2,'None',10,7.5,0.02,96.6,3.3,12.0,'Standard',100.0,'Standard',91.8
'INT_QEDYM6','PHYS_P9BA5T','DEV_PV8C8F','false','false','true','false','None',9,4,'None',4,6.2,0.16,90.9,3.6,14.0,'Standard',92.6,'Hall Effect',98.4
'INT_QS6HBN','PHYS_IF3NFW','DEV_A739Z2','false','true','false','false','Advanced',2,1,'Basic',10,1.1,0.16,97.8,4.4,19.2,'Standard',94.1,'Magnetic',93.6
'INT_UY6LI3','PHYS_KBTP9D','DEV_LG977R','true','false','false','false','Advanced',6,1,'Basic',9,5.3,0.17,99.5,3.7,17.7,'Hybrid',90.7,'Magnetic',93.7
'INT_UHV9ZF','PHYS_AQ6CYG','DEV_Z44DLR','false','false','false','true','Advanced',9,2,'Advanced',1,2.6,0.06,94.6,3.4,17.3,'Floating',95.7,'Standard',97.2
'INT_LSBHZV','PHYS_RHQ543','DEV_T5XOGZ','false','true','false','true','None',4,5,'Basic',3,8.7,0.14,98.3,3.2,17.1,'Floating',98.8,'Hall Effect',96.3
'INT_7KYHT4','PHYS_6K9D60','DEV_AQKRJK','false','true','true','false','None',2,2,'None',3,7.5,0.20,98.4,3.3,10.1,'Hybrid',93.8,'Standard',97.2
'INT_YRLMBW','PHYS_X4RZVB','DEV_09W3KS','true','true','true','false','None',2,4,'None',7,1.8,0.04,90.7,2.3,17.3,'Hybrid',93.8,'Standard',99.8
'INT_FQTBGM','PHYS_M282FO','DEV_Y5U65F','false','false','false','true','Advanced',7,2,'Advanced',6,8.4,0.01,95.6,4.2,10.8,'Hybrid',94.0,'Hall Effect',99.6
'INT_GZ5MFK','PHYS_0YRNVI','DEV_J9L9IF','false','true','false','true','None',10,5,'Basic',5,1.2,0.19,90.9,4.6,13.6,'Standard',93.1,'Magnetic',96.9
