'RGB_33D8M7','MECH_JOL75L','AUD_62KLBY',88,84.3,166,'18',1,3461298
'RGB_INHK9M','MECH_0WBA9L','AUD_HN6IA9',12,87.1,847,'11',3,3206043
'RGB_0P73NA','MECH_Q9PD87','AUD_QYXW48',23,97.2,159,'14',1,11826339
'RGB_35OMTP','MECH_ZQDCCU','AUD_7BM7RB',21,86.1,119,'15',7,3233846
'RGB_IHGOM3','MECH_UB7PHG','AUD_T6B09U',81,89.5,190,'18',6,7548885
'RGB_1TGOOT','MECH_6A5M05','AUD_UJ4WK0',24,87.7,535,'15',2,9970979
'RGB_5BOD8X','MECH_M3U6YQ','AUD_VHV1E9',4,90.2,110,'18',3,13485638
'RGB_BWB2CI','MECH_J8U6KY','AUD_506Y3W',43,88.2,912,'18',3,9330990
'RGB_LE8AQN','MECH_MWOJOE','AUD_DUNJP8',22,99.2,389,'20',6,12127673
'RGB_DMP1AA','MECH_I7AOG8','AUD_7FKQ89',72,82.2,171,'16',8,5670946
'RGB_5YBVZ9','MECH_1Y7FGK','AUD_VKXWNV',43,91.4,441,'13',2,3233770
'RGB_OVKONJ','MECH_LERUMS','AUD_JQMF9L',34,90.2,221,'20',2,11126287
'RGB_3MGLBV','MECH_CCW6OC','AUD_CA2F7D',33,87.5,344,'12',4,7400958
'RGB_CGCMY0','MECH_EX9UNW','AUD_77VO8L',21,85.8,601,'17',6,5717227
'RGB_M8YNBG','MECH_BGO4W2','AUD_1DEHXR',27,88.1,697,'15',3,2654000
'RGB_UE4H1J','MECH_Q534TA','AUD_Z7FISN',97,85.0,122,'17',10,15633074
'RGB_BANB37','MECH_CUKUAL','AUD_N8NL5P',55,84.0,648,'16',9,6747643
'RGB_8B7QDE','MECH_RXS0F2','AUD_WTTE0R',82,82.6,348,'8',7,396484
'RGB_03MPVG','MECH_FDQS79','AUD_X6OA1M',70,94.2,538,'9',8,14506908
'RGB_VR9Z3H','MECH_VG34QU','AUD_INIQ4N',100,84.4,535,'10',2,8298218
'RGB_B586HG','MECH_TDZ411','AUD_IT468S',6,90.0,141,'15',5,1057150
'RGB_6PVPGA','MECH_MP5MFF','AUD_V32TAZ',62,89.5,129,'6',2,4737340
'RGB_48PTSS','MECH_VXI7XN','AUD_Z9LRYU',83,92.3,571,'12',7,14195799
'RGB_WXUAOO','MECH_93UO03','AUD_K1JGOD',41,97.0,416,'17',8,15465549
'RGB_9GV2IN','MECH_S84LMG','AUD_L38IOB',38,96.5,958,'15',10,8452455
'RGB_6OA6MM','MECH_G77JLQ','AUD_P832P1',90,98.7,780,'6',10,16436750
'RGB_ADFK4D','MECH_YUHHV2','AUD_RC9Z8Y',4,82.2,627,'12',6,13486910
'RGB_JB7CHZ','MECH_QSI2JS','AUD_QYWT2Z',9,96.2,734,'12',1,4392839
'RGB_VP36KD','MECH_GSNKKH','AUD_39Y44C',46,86.8,988,'14',3,14147220
'RGB_7WSSJ6','MECH_DTA6CY','AUD_G4WGRA',65,80.6,572,'14',10,9753840
'RGB_18PEV8','MECH_95M372','AUD_2P3TR7',20,99.6,484,'17',6,2015785
'RGB_ET5PBI','MECH_Q6907K','AUD_1X5UYK',65,85.6,726,'17',9,11480570
'RGB_511QBA','MECH_CSBT3B','AUD_90OCV9',44,82.9,740,'13',2,4132171
'RGB_DHQC0E','MECH_1PBWGS','AUD_EZK6RS',68,85.6,335,'20',1,13648325
'RGB_9IDYP3','MECH_FF9FXZ','AUD_MG2LUW',55,92.1,376,'12',5,12949302
'RGB_NFMBBO','MECH_ORV36Q','AUD_15G3CX',79,86.9,739,'10',4,11385128
