'SENT_XSX4T','IT291460',0.87,0.61,18,45.91,3.85,18.6600,2.9100,1.1700,11.3900,'Moderate','Earnings','Pre-market',34.04,NULL
'SENT_MOR6T','IT931600',-0.93,-0.48,9,37.78,64.69,18.8900,1.3900,0.8500,91.4700,'Moderate','Restructuring','Intraday',41.03,NULL
'SENT_HWFBT','IT310545',0.83,0.59,29,35.22,72.15,17.2400,3.9000,0.6500,12.6800,'Moderate','M&A','Pre-market',12.66,NULL
'SENT_QGWB2','IT936393',-0.70,0.41,6,0.40,78.29,18.4500,2.9500,1.3200,1.0000,'Moderate','Earnings','Post-market',1.43,NULL
'SENT_MOFW9','IT140308',0.25,-0.77,4,37.25,1.48,19.8200,0.3900,0.9700,33.8800,'Moderate','Earnings','Post-market',13.27,NULL
'SENT_2KAW1','IT855524',-0.41,-0.76,23,41.52,48.25,0.3100,4.8300,1.9500,38.7800,'High','Restructuring','Post-market',80.37,NULL
'SENT_Y962G','IT110951',-0.80,-0.07,11,21.68,55.26,2.9800,3.9700,0.3200,34.0000,'Moderate','Earnings','Post-market',88.27,NULL
'SENT_F1QD6','IT589692',0.99,-0.93,11,48.39,65.49,17.3900,3.7900,1.5700,0.0700,'Moderate','Earnings','Intraday',66.53,NULL
'SENT_8AIZ1','IT410905',-0.69,-0.57,11,33.44,15.34,10.3500,4.8100,1.3600,97.2300,'High','Earnings','Pre-market',95.82,NULL
'SENT_MRILM','IT969905',0.54,-0.25,22,35.32,6.45,5.1400,0.9100,0.7500,3.9800,'High','Restructuring','Post-market',20.82,NULL
'SENT_0WO6B','IT612009',-0.81,-0.89,3,11.12,62.76,0.9200,0.0900,1.4200,76.5800,'High','Earnings','Post-market',55.85,NULL
'SENT_BMG5M','IT136857',0.95,0.22,22,3.75,11.71,6.1100,3.8100,0.3700,9.2100,'Moderate','Earnings','Pre-market',91.37,NULL
'SENT_0DFIX','IT514814',-0.01,-0.96,24,16.39,79.53,19.1500,3.9000,1.6100,86.2000,'High','M&A','Pre-market',89.08,NULL
'SENT_3Z3CW','IT422609',0.45,0.10,30,41.95,80.35,16.2900,1.7600,1.2000,55.2200,'Moderate','Restructuring','Pre-market',55.61,NULL
'SENT_BYVVW','IT451756',-0.93,0.61,26,9.93,18.83,19.4400,2.2900,0.9200,86.0400,'Moderate','Restructuring','Pre-market',62.99,NULL
