1,1,1,'2025-02-19 08:02:16.000',523,26,0.10,7,0.46,22,2,0.09,'fr','8','100.226.79.211','Niue','Nevada','North Shawnburgh','EXP229','v4','RS4466',0.84,0.60,0.72
2,2,2,'2025-02-19 07:49:16.000',2666,6,0.29,11,0.72,10,15,1.50,'es','1','75.110.0.79','Cayman Islands','Maryland','North Ryan','EXP309','v1','RS3014',0.66,0.78,0.05
3,3,3,'2025-02-19 07:37:16.000',677,23,0.51,3,0.09,40,13,0.33,'fr','0','153.39.158.144','Pitcairn Islands','Arkansas','Michaelton','EXP944','v3','RS8092',0.70,0.55,0.19
4,4,4,'2025-02-19 07:14:16.000',1098,30,0.17,11,0.97,41,9,0.22,'en','1','172.29.42.239','Greece','Kentucky','Lake Rebekah','EXP549','v2','RS9980',0.34,0.24,0.55
5,5,5,'2025-02-19 07:25:16.000',2025,36,0.96,4,0.91,6,16,2.67,'en','-5','11.69.75.124','British Indian Ocean Territory (Chagos Archipelago)','North Dakota','Port Ashley','EXP630','v4','RS2626',0.49,0.93,0.11
6,6,6,'2025-02-19 08:18:16.000',542,38,0.76,5,0.32,10,1,0.10,'fr','0','51.128.4.251','Cote d''Ivoire','Oklahoma','Herringstad','EXP791','v5','RS4002',0.10,0.78,0.58
7,7,7,'2025-02-19 08:12:16.000',1826,41,0.40,20,0.30,11,2,0.18,'de','1','62.63.131.224','Comoros','Hawaii','Rebeccamouth','EXP285','v4','RS5298',0.93,0.30,0.62
8,8,8,'2025-02-19 07:40:16.000',2989,17,0.24,10,0.01,47,17,0.36,'de','1','6.53.38.57','Jersey','Hawaii','North Betty','EXP510','v3','RS5156',0.54,0.63,0.49
9,9,9,'2025-02-19 07:13:16.000',1275,14,0.62,1,0.42,24,4,0.17,'es','-5','175.38.204.4','Poland','New Mexico','Hobbsborough','EXP619','v3','RS9862',0.67,0.87,0.29
10,10,10,'2025-02-19 07:49:16.000',46,8,0.40,18,0.38,23,3,0.13,'en','-8','31.139.125.168','Ethiopia','Idaho','Billyside','EXP702','v1','RS7883',0.42,0.30,0.63
