'PE593707','Shelter','Model-925','Lee, Meyers and Hamilton',4,53.00,97.800,72.80,47.1,75.900,36.7
'PE292528','Scientific','Model-454','Wiggins Inc',6,60.00,97.700,48.80,72.2,35.900,74.7
'PE617633','Safety','Model-456','Graves-Cox',10,81.00,97.000,93.00,36.8,34.600,87.3
'PE991302','Vehicle','Model-307','Bean LLC',16,46.00,38.800,46.70,38.0,63.200,42.6
'PE669257','Generator','Model-315','Hayes, Ford and Miller',11,0.00,61.700,67.20,17.9,22.700,75.3
'PE615899','Generator','Model-569','Smith-Lucas',9,94.00,97.100,9.60,2.7,39.600,16.0
'PE218333','Vehicle','Model-557','Carter-Ramirez',8,41.00,62.200,80.90,58.1,31.100,44.2
'PE679897','Vehicle','Model-817','Martinez, Pierce and Patel',16,46.00,78.000,23.90,24.3,62.500,36.8
'PE752240','Generator','Model-146','Harris, Bradley and Brown',12,65.00,52.700,54.40,71.4,96.300,2.8
'PE665932','Scientific','Model-529','Cox PLC',20,96.00,55.500,80.70,20.7,95.600,47.9
'PE408827','Shelter','Model-650','Beasley-Gamble',9,78.00,42.500,6.70,24.7,30.400,42.0
'PE857355','Safety','Model-326','Stephenson-Walker',7,50.00,61.000,49.30,11.5,46.900,85.7
'PE527247','Scientific','Model-869','Adkins and Sons',7,91.00,41.000,44.50,16.8,31.300,41.8
'PE998584','Safety','Model-806','Dixon-Torres',17,36.00,32.700,17.90,9.7,63.100,30.6
'PE456705','Communication','Model-140','Duffy Ltd',19,10.00,33.200,22.20,64.5,17.700,73.0
'PE554570','Communication','Model-774','Lopez-Melton',15,14.00,36.900,49.10,71.9,94.700,66.3
'PE230983','Safety','Model-587','Moses Inc',3,63.00,27.200,15.10,9.3,18.300,45.8
'PE249546','Scientific','Model-955','Blake-Thomas',17,38.00,26.900,18.70,68.6,6.500,30.4
'PE700884','Shelter','Model-778','Jensen, Luna and Stout',9,75.00,53.700,43.20,72.7,18.900,44.9
'PE504969','Safety','Model-724','Gardner-Edwards',16,61.00,65.100,62.20,82.7,67.200,56.6
'PE150141','Communication','Model-640','Mitchell Inc',3,70.00,87.400,26.00,15.7,90.600,10.4
'PE288291','Communication','Model-883','Santiago, Powell and Mclean',19,66.00,55.100,31.20,6.7,75.300,6.2
'PE984340','Safety','Model-696','Brown, Johnson and Stone',15,37.00,75.900,49.00,5.6,99.200,8.3
'PE625555','Communication','Model-783','Mitchell Ltd',15,11.00,81.600,43.40,49.1,52.500,48.5
'PE979703','Safety','Model-766','Edwards-Patterson',1,16.00,29.500,49.80,95.5,18.900,41.8
'PE604010','Generator','Model-597','White, Bryant and Terry',7,61.00,39.400,30.80,60.9,13.200,8.7
'PE393061','Vehicle','Model-859','Conway-Neal',11,78.00,98.500,59.40,88.0,51.400,0.3
'PE108108','Vehicle','Model-413','Little, Guzman and Sanchez',19,82.00,16.300,62.70,22.7,5.400,80.7
'PE550417','Communication','Model-134','Rodriguez, Morrow and Schroeder',12,71.00,90.400,62.10,14.3,88.300,95.1
'PE660224','Generator','Model-589','Gallagher, Compton and Smith',17,100.00,17.000,67.30,5.8,93.200,13.0
'PE171947','Vehicle','Model-730','Cannon-Hester',17,4.00,92.900,12.60,99.3,20.000,58.4
'PE797950','Generator','Model-583','Allison Ltd',17,46.00,68.600,48.80,41.4,69.400,20.3
'PE526709','Vehicle','Model-398','Miller Inc',14,85.00,43.000,62.80,40.6,22.800,75.8
'PE819448','Shelter','Model-501','House, Cox and Carpenter',12,80.00,99.300,86.20,18.7,0.400,65.4
'PE496485','Shelter','Model-851','Stone, Pace and Baldwin',8,89.00,6.100,85.10,93.4,56.300,75.9
'PE808742','Shelter','Model-412','Pearson PLC',6,27.00,66.000,20.90,14.8,0.100,84.5
'PE353523','Generator','Model-126','Miller-Cruz',10,39.00,58.400,93.60,55.8,53.300,19.5
'PE486690','Vehicle','Model-349','Wise, Garner and Lopez',3,48.00,31.800,68.90,7.8,11.800,74.4
'PE245161','Generator','Model-770','Torres, Holt and Hill',19,70.00,54.600,77.90,43.0,82.400,35.3
'PE143333','Scientific','Model-730','Perkins-Young',14,23.00,20.000,71.30,41.1,1.400,26.6
'PE803946','Scientific','Model-417','Gibbs-Blankenship',17,74.00,73.600,97.20,5.4,81.900,57.6
'PE149501','Scientific','Model-299','Williams and Sons',9,97.00,20.200,21.20,31.7,74.100,63.5
'PE641342','Generator','Model-302','Warren-Sanchez',2,82.00,17.900,88.00,35.5,98.900,82.5
'PE702097','Generator','Model-983','Hubbard-Ramos',4,97.00,47.300,85.50,20.2,9.600,85.8
'PE158907','Vehicle','Model-411','Meyer, Stevenson and Nguyen',12,75.00,23.300,22.00,79.8,64.800,1.4
'PE388337','Safety','Model-229','Hines Ltd',11,92.00,82.900,23.10,56.9,32.200,96.6
'PE849807','Communication','Model-258','Barker and Sons',8,21.00,32.600,71.40,86.8,42.300,39.6
'PE185934','Shelter','Model-605','Harrison, Campbell and Clark',13,88.00,62.400,26.00,19.9,27.400,39.4
'PE644868','Communication','Model-157','Johnson, Murphy and Ferguson',4,74.00,51.800,67.30,72.0,59.700,20.2
'PE566902','Generator','Model-227','Davis, Howard and Lee',13,70.00,55.300,35.10,51.0,86.400,98.9
'PE593084','Vehicle','Model-745','Hatfield, Carrillo and Martin',12,93.00,79.400,80.10,76.7,30.000,25.3
'PE753858','Safety','Model-178','Johnson-Reese',3,68.00,46.800,34.00,9.4,33.600,18.0
'PE467205','Shelter','Model-102','Mendoza LLC',19,18.00,99.400,10.60,97.3,53.000,72.7
'PE615712','Shelter','Model-926','Smith, Callahan and Hess',7,94.00,8.200,75.70,96.9,44.500,8.7
'PE129437','Generator','Model-803','Parks PLC',6,95.00,82.900,64.40,15.3,41.300,78.6
'PE172120','Scientific','Model-439','Nelson-Turner',8,25.00,76.900,94.50,56.2,63.400,16.9
'PE954298','Safety','Model-782','Calhoun-Black',2,97.00,44.300,85.30,12.7,35.400,86.8
'PE142512','Safety','Model-492','Barnes-Curtis',17,93.00,12.000,8.00,58.6,91.400,4.3
'PE514481','Vehicle','Model-997','Hayes-Perez',20,10.00,38.100,71.10,12.7,47.000,2.3
'PE432586','Communication','Model-631','Brooks Inc',14,55.00,13.900,67.00,24.8,13.000,41.7
'PE562948','Communication','Model-985','Williams PLC',18,8.00,29.700,98.10,57.8,69.600,33.4
'PE537344','Scientific','Model-955','Duran, Holt and Alvarado',6,93.00,51.000,3.60,10.4,74.000,83.7
'PE586784','Shelter','Model-209','Hall, Paul and Austin',3,13.00,17.000,78.50,58.2,16.400,65.8
'PE164420','Vehicle','Model-523','Gray, Baxter and Vargas',19,78.00,64.700,36.30,31.7,22.900,10.9
