'RF100725','2025-02-19 00:10:46.275','RB2073'
'RF506310','2025-02-18 08:48:23.275','RB9067'
'RF422033','2025-02-18 12:20:12.276','RB2996'
'RF806459','2025-02-18 09:16:40.276','RB4545'
'RF478822','2025-02-19 03:00:05.276','RB8530'
'RF196869','2025-02-18 11:55:53.276','RB4962'
'RF982879','2025-02-19 00:20:21.276','RB6554'
'RF966272','2025-02-18 19:38:57.276','RB5210'
'RF419468','2025-02-19 00:12:27.276','RB6405'
'RF119293','2025-02-18 16:34:36.276','RB3783'
'RF977036','2025-02-19 01:49:27.276','RB7520'
'RF616012','2025-02-18 19:49:08.276','RB4705'
'RF997271','2025-02-18 18:47:41.276','RB6552'
'RF789089','2025-02-19 04:53:48.276','RB1035'
'RF258464','2025-02-18 20:34:18.276','RB5898'
'RF527980','2025-02-19 00:46:15.276','RB9010'
'RF369276','2025-02-18 14:35:17.276','RB2707'
'RF399618','2025-02-18 21:18:54.276','RB9004'
'RF221032','2025-02-19 05:21:24.276','RB3016'
'RF316276','2025-02-18 18:35:15.276','RB6792'
'RF659402','2025-02-18 15:22:17.277','RB6851'
'RF365945','2025-02-18 22:20:12.277','RB8894'
'RF274021','2025-02-18 13:22:21.277','RB7215'
'RF936479','2025-02-18 09:51:04.277','RB9390'
'RF132253','2025-02-18 09:34:11.277','RB4618'
'RF619014','2025-02-19 00:16:40.277','RB8822'
'RF708196','2025-02-18 12:12:28.277','RB9078'
'RF850168','2025-02-18 16:40:48.277','RB3634'
'RF644501','2025-02-18 13:50:45.277','RB7612'
'RF937310','2025-02-18 16:09:00.277','RB9198'
'RF886638','2025-02-19 04:17:43.277','RB2017'
'RF403411','2025-02-18 21:30:27.277','RB7500'
'RF994878','2025-02-18 19:18:35.277','RB5894'
'RF504159','2025-02-19 07:27:52.277','RB8678'
'RF747386','2025-02-19 03:17:45.277','RB1568'
'RF891634','2025-02-19 06:46:49.277','RB6284'
'RF216105','2025-02-18 20:24:47.277','RB3666'
'RF634500','2025-02-18 10:23:07.278','RB8103'
'RF180250','2025-02-18 11:15:32.278','RB7327'
'RF372917','2025-02-18 15:57:09.278','RB8986'
'RF288975','2025-02-19 04:45:08.278','RB1412'
'RF672279','2025-02-18 15:10:26.278','RB1690'
'RF161301','2025-02-19 05:40:37.278','RB9083'
'RF365550','2025-02-18 13:14:02.278','RB9225'
'RF360664','2025-02-18 12:14:31.278','RB3316'
'RF741454','2025-02-18 17:07:09.278','RB8400'
'RF542180','2025-02-18 17:01:47.278','RB7318'
'RF154227','2025-02-18 21:12:50.278','RB2445'
'RF146348','2025-02-18 11:21:02.278','RB5656'
'RF216516','2025-02-18 13:03:29.279','RB7982'
'RF914542','2025-02-18 15:34:36.279','RB9690'
'RF698685','2025-02-18 14:12:40.279','RB5914'
'RF907457','2025-02-18 15:52:12.279','RB7092'
'RF737644','2025-02-19 03:43:18.279','RB9626'
'RF157692','2025-02-18 14:45:14.279','RB6760'
'RF916551','2025-02-18 15:43:33.279','RB1136'
'RF168527','2025-02-19 06:29:40.279','RB8974'
'RF343649','2025-02-18 09:01:41.279','RB3971'
'RF498433','2025-02-19 05:32:54.279','RB4179'
'RF557809','2025-02-18 15:12:55.279','RB4361'
'RF775638','2025-02-18 16:38:39.279','RB1770'
'RF607890','2025-02-19 05:24:54.279','RB7375'
'RF712636','2025-02-18 14:17:21.279','RB3381'
'RF965516','2025-02-18 15:21:18.279','RB9099'
'RF184167','2025-02-18 14:19:52.279','RB4678'
'RF527754','2025-02-19 02:56:14.279','RB8312'
'RF391526','2025-02-18 11:24:38.279','RB4092'
'RF665005','2025-02-18 16:53:58.279','RB5969'
'RF952308','2025-02-18 21:18:19.279','RB2191'
'RF109008','2025-02-19 00:19:35.279','RB3807'
'RF855214','2025-02-19 00:33:50.279','RB3632'
'RF293543','2025-02-19 01:39:38.279','RB1771'
'RF674555','2025-02-18 20:23:45.279','RB7462'
'RF904171','2025-02-19 06:06:26.279','RB3253'
'RF609947','2025-02-18 10:40:24.280','RB9407'
'RF324255','2025-02-19 03:46:24.280','RB8485'
'RF675281','2025-02-19 04:29:29.280','RB8186'
'RF895348','2025-02-18 13:41:32.280','RB4057'
'RF472878','2025-02-19 04:32:46.280','RB3851'
'RF814700','2025-02-18 16:57:21.280','RB4020'
'RF593300','2025-02-18 09:39:46.280','RB6378'
