'COM_02Q3V','ENG_9RLZH','MEM_QCM5T',37,544.10,80,45,51.8,'High'
'COM_5C1C3','ENG_FGNJL','MEM_KGCEJ',0,626.15,69,34,77.9,'Low'
'COM_Z1O8V','ENG_68S16','MEM_P91DJ',35,476.54,62,28,24.2,'Low'
'COM_D6G38','ENG_DILN2','MEM_HVZ7O',21,1113.58,1,33,7.0,'High'
'COM_SBM9E','ENG_X9EXO','MEM_A4G6Q',38,838.82,52,27,39.9,'High'
'COM_62497','ENG_06WQ9','MEM_Z2WHS',25,1161.01,30,16,37.7,'Low'
'COM_0OLI4','ENG_O8RT4','MEM_8QIK4',6,578.34,17,42,60.4,'High'
'COM_H3CB0','ENG_N7H45','MEM_GSSNJ',11,777.03,99,44,6.0,'High'
'COM_QPN44','ENG_OGEXW','MEM_A5CZH',18,633.36,17,6,54.3,'Low'
'COM_G1KQ4','ENG_XHCAM','MEM_0X7U9',25,98.88,87,50,49.7,'Medium'
'COM_S5W5U','ENG_D1QOY','MEM_SRXZJ',21,1059.68,73,4,67.6,'Low'
'COM_L47C9','ENG_OT0D9','MEM_91964',11,732.61,31,29,70.2,'Low'
'COM_CO049','ENG_1JMQE','MEM_2QN8I',27,1874.78,59,17,37.3,'Low'
'COM_2MAQC','ENG_PNXDT','MEM_WIR89',29,165.04,7,31,7.8,'Low'
'COM_43L3N','ENG_A1RSB','MEM_2RY22',36,521.51,8,15,81.5,'High'
'COM_KYUBB','ENG_T8Q2J','MEM_3S0NI',24,571.33,67,11,22.5,'Low'
'COM_F13BP','ENG_DJM20','MEM_5AEZO',3,1591.33,3,37,32.3,'Low'
'COM_CW65U','ENG_7VWA4','MEM_3CLFB',18,1880.86,48,47,85.3,'High'
'COM_I115Q','ENG_D977U','MEM_9B7QH',43,531.97,21,42,18.3,'Low'
'COM_96BY5','ENG_WINOV','MEM_AVDOU',25,1902.83,50,5,56.9,'High'
'COM_CC8H3','ENG_PTRNB','MEM_LVYIC',27,937.83,50,44,53.1,'High'
'COM_O8TV6','ENG_CLUG3','MEM_SM7RS',48,713.15,98,14,72.3,'Low'
'COM_PYVBK','ENG_XROM0','MEM_IOK7W',28,1663.89,43,42,22.5,'High'
'COM_OWFCA','ENG_TUK66','MEM_DEKRI',49,1800.48,94,15,41.6,'Low'
'COM_0LOR1','ENG_UTGXV','MEM_E5OXG',42,1807.40,83,42,73.4,'Low'
'COM_TSX2L','ENG_H2DY0','MEM_61HS7',18,812.63,58,22,33.3,'Medium'
'COM_43ZJ9','ENG_8BAJ7','MEM_SEFSY',2,1976.43,41,19,95.0,'Low'
'COM_YSVIR','ENG_8OAQD','MEM_BMZHM',50,921.45,3,13,21.8,'Low'
'COM_4SG4K','ENG_I58L6','MEM_FRUQ9',21,400.48,52,17,51.2,'Low'
'COM_UJFW5','ENG_HDR2K','MEM_J3ZR6',5,369.61,98,37,79.4,'Low'
'COM_TDALV','ENG_CKCN1','MEM_UOHAG',46,1354.52,63,14,3.9,'Low'
'COM_VJ2UT','ENG_S3BP1','MEM_ARWK0',36,844.14,3,21,67.4,'Low'
'COM_230W5','ENG_C2TIQ','MEM_CU6V6',10,1801.48,41,32,88.0,'Medium'
'COM_GNIXM','ENG_SLIYC','MEM_5GJDF',9,1097.00,32,31,69.4,'Medium'
'COM_1HTEX','ENG_DEQW7','MEM_ITS17',41,407.77,43,40,10.1,'High'
'COM_56A15','ENG_CRU6G','MEM_93U3Q',34,1897.61,79,21,8.7,'Low'
'COM_DF70Q','ENG_L7EA2','MEM_WTKH9',50,644.67,72,37,19.0,'Medium'
'COM_BCJX2','ENG_WJY4G','MEM_OKNIN',45,128.42,50,45,15.3,'Low'
'COM_D79QA','ENG_OA2GC','MEM_2DO2E',14,814.01,81,29,41.8,'Low'
'COM_Z9HDJ','ENG_VS8LY','MEM_LV57U',20,1780.56,49,31,33.1,'Low'
'COM_DFMWK','ENG_0SD31','MEM_D6KJV',20,755.22,61,22,9.2,'Low'
'COM_TKMKP','ENG_97NFP','MEM_0XXDB',1,1813.12,10,42,0.9,'High'
'COM_XH2G7','ENG_57T78','MEM_NJ2G4',24,1430.60,60,50,30.1,'Low'
'COM_EWB6X','ENG_DR0IA','MEM_ITCON',15,1810.28,51,11,44.1,'Low'
'COM_E7MW8','ENG_LVEJQ','MEM_GQH1Q',9,438.64,87,46,44.3,'Medium'
'COM_HDN66','ENG_X8MCZ','MEM_JYLLF',3,599.37,50,7,85.6,'Medium'
'COM_3USKT','ENG_8UJ2W','MEM_YU84T',4,1882.74,97,41,35.1,'Low'
'COM_J8XPW','ENG_SXGRC','MEM_FJA88',35,79.00,24,25,46.6,'Medium'
'COM_TWIBH','ENG_S143Z','MEM_PCPHZ',21,614.91,11,32,88.4,'Medium'
'COM_4LE86','ENG_ERMR2','MEM_M77B1',23,791.03,71,17,85.7,'Low'
'COM_BVWIC','ENG_HPQPQ','MEM_IMRI7',9,1359.77,11,27,82.3,'Low'
'COM_1FKVW','ENG_MFKCW','MEM_24S5W',0,1106.13,19,34,49.8,'Medium'
'COM_QRODC','ENG_D36EM','MEM_40LHJ',4,795.70,68,42,51.9,'Medium'
'COM_58XPG','ENG_N8K9U','MEM_J5NML',43,56.74,25,1,7.3,'Low'
'COM_M3L0Y','ENG_GWS9W','MEM_RXXR5',38,1878.56,37,23,71.0,'Low'
'COM_G9KWT','ENG_5EHE8','MEM_0WGXU',31,1428.24,26,8,37.3,'Low'
'COM_MB7OG','ENG_ZA6NB','MEM_NDGHM',3,966.83,39,42,33.2,'High'
'COM_XL7JC','ENG_WKDR4','MEM_MLURU',6,1753.65,54,3,42.4,'Medium'
'COM_O2Z02','ENG_V4O0B','MEM_31RUB',40,502.12,51,20,60.4,'Low'
'COM_EBINS','ENG_G2QX2','MEM_EHDYR',11,4.39,15,21,27.8,'Low'
'COM_4ODDY','ENG_PL3L5','MEM_LW0IK',36,547.49,12,49,69.0,'High'
'COM_IIJX3','ENG_RH4QY','MEM_P5UK1',7,723.29,52,21,57.2,'Medium'
'COM_LUH0V','ENG_C2ZES','MEM_JESI4',5,999.40,77,36,42.3,'Medium'
'COM_EQE5B','ENG_PJZXK','MEM_YXFLA',28,1939.84,63,9,50.8,'Low'
'COM_DZB8J','ENG_6WYWC','MEM_ADF3T',20,1823.79,18,36,93.2,'High'
'COM_6XPLA','ENG_BYIN8','MEM_VKB0A',27,530.96,79,48,3.6,'Medium'
'COM_9VQ6U','ENG_RN0SR','MEM_O0A53',5,118.86,0,7,74.8,'Low'
'COM_EXGRF','ENG_W2122','MEM_CV8WB',17,26.87,73,21,10.9,'Low'
'COM_0DV07','ENG_V5VUL','MEM_CYFP4',39,512.95,52,17,36.3,'Low'
'COM_TZBOD','ENG_BDPOX','MEM_E94U9',30,547.69,42,9,89.7,'Medium'
'COM_30MG4','ENG_UZARI','MEM_V9E0D',40,512.70,42,4,42.4,'Low'
'COM_N9TSM','ENG_6R260','MEM_W82Y8',49,1367.62,18,24,14.7,'Low'
'COM_E8KBF','ENG_TMXD5','MEM_MNW7G',48,955.43,35,26,19.7,'High'
'COM_0LRS3','ENG_JB6N8','MEM_98G1I',0,726.22,72,35,29.6,'High'
'COM_Y83OA','ENG_K42WK','MEM_VKFTE',24,552.79,1,41,68.6,'High'
'COM_OVADD','ENG_XMFS1','MEM_STI3Y',36,1980.76,57,17,59.5,'Low'
'COM_XT12P','ENG_AWB5B','MEM_40IHZ',37,1149.05,18,42,23.0,'High'
'COM_D8082','ENG_76SLS','MEM_TYBAQ',12,922.25,60,42,57.4,'Medium'
'COM_U5X42','ENG_1E8N8','MEM_2B5UY',20,277.88,76,31,79.0,'Low'
'COM_0CXGC','ENG_PQ6ZC','MEM_XNTP3',37,1344.42,38,29,16.9,'Low'
'COM_84KOT','ENG_OZJLT','MEM_JPA8T',45,176.08,16,20,70.7,'High'
'COM_XLNOH','ENG_I6RUW','MEM_29NPO',42,1165.53,35,27,11.8,'High'
'COM_C197Q','ENG_WT51O','MEM_SG7EQ',19,473.41,17,25,82.6,'Low'
'COM_T9CM9','ENG_TYRHV','MEM_BLX4S',46,885.87,35,24,10.9,'Low'
'COM_FHF10','ENG_5KLSP','MEM_MZ65Z',32,1827.93,32,22,92.6,'High'
'COM_ABQDJ','ENG_P70WE','MEM_UW8KH',47,92.85,23,21,20.3,'Medium'
'COM_XFWGA','ENG_USOAI','MEM_SLCXO',0,1210.23,88,6,46.0,'Medium'
'COM_M0L40','ENG_A8MQ2','MEM_M1T9N',29,1676.14,87,16,66.3,'Low'
'COM_VZXW7','ENG_7J6FC','MEM_8GOBS',4,1781.80,46,41,54.6,'Low'
'COM_NPWIF','ENG_SMJQ1','MEM_ZDFO7',17,31.53,81,18,2.8,'Low'
'COM_7PU4Z','ENG_9W8BK','MEM_G4SOL',8,1098.45,86,34,22.7,'Medium'
'COM_QVNX4','ENG_X4ACN','MEM_HSLDR',27,480.22,19,16,84.2,'Low'
'COM_30H0Q','ENG_PUTYV','MEM_BOUV6',20,388.81,66,11,66.6,'Low'
'COM_7LV7P','ENG_MA3YQ','MEM_7A2C4',8,1741.60,56,14,15.3,'Medium'
'COM_KE9WU','ENG_54D9F','MEM_V5K3I',48,1391.65,67,30,53.8,'High'
'COM_8HGXE','ENG_UP5QV','MEM_BUDLK',13,1744.51,88,31,8.0,'Low'
'COM_KVI04','ENG_8C8P7','MEM_2XNJE',48,1925.74,47,47,92.0,'High'
'COM_C9LNE','ENG_YF21U','MEM_8G3IA',15,262.05,44,34,7.5,'Low'
'COM_6GP2I','ENG_TRNL3','MEM_DBFMW',36,617.11,32,25,83.4,'Low'
'COM_EE3VK','ENG_IJSEK','MEM_29MZR',35,1286.30,58,47,2.6,'High'
'COM_RQ363','ENG_5KETD','MEM_W4RI0',13,391.77,29,5,35.2,'Low'
'COM_8F1TN','ENG_GO8SU','MEM_D3ODD',25,1023.93,52,28,80.9,'Medium'
'COM_P7N9U','ENG_5VCN3','MEM_OPMFL',36,1095.32,92,31,4.9,'Low'
'COM_NLIWG','ENG_3LHID','MEM_CKF7L',24,722.09,40,32,68.4,'Medium'
'COM_MR0B3','ENG_ZO801','MEM_8T3XU',12,1614.07,66,20,61.3,'High'
'COM_FUAWZ','ENG_1UEU2','MEM_CWLMB',20,611.86,65,45,93.1,'Low'
'COM_MXC7J','ENG_F7V7T','MEM_K4W9L',31,209.73,95,33,25.9,'Low'
'COM_X10RL','ENG_9ACQT','MEM_40OP4',13,1130.74,0,18,7.5,'Low'
'COM_N5EWY','ENG_1E3RU','MEM_9PEJK',12,1270.79,10,8,77.8,'High'
'COM_350P3','ENG_Z5X16','MEM_0H76A',7,1187.10,75,17,53.2,'High'
'COM_CV26B','ENG_OOTTO','MEM_GSGXD',29,296.25,8,30,10.4,'Medium'
'COM_0HUIN','ENG_22K1G','MEM_UP0P9',42,51.61,39,7,81.8,'Low'
'COM_CTIRZ','ENG_DA6GG','MEM_QDZDV',33,1200.93,29,30,17.8,'Medium'
'COM_LBN2I','ENG_7TUUO','MEM_WLCJN',49,1839.27,90,10,82.2,'Medium'
'COM_0FWKR','ENG_M5JNS','MEM_YNPD9',40,1689.44,91,38,2.3,'Low'
'COM_L2FF0','ENG_FI5OO','MEM_906IJ',29,105.50,24,22,38.7,'Low'
'COM_V9EI1','ENG_US6T5','MEM_7C4QA',24,469.45,77,14,53.8,'Medium'
'COM_NKQO2','ENG_Q0QG9','MEM_LUNKY',45,430.53,14,43,93.5,'Medium'
'COM_2A1IQ','ENG_21RRY','MEM_B6OTS',7,1103.05,41,40,81.3,'Medium'
'COM_NXNZW','ENG_X33R8','MEM_W4PFP',39,1190.87,61,30,86.1,'Low'
'COM_VXRT0','ENG_1C4LR','MEM_6218F',28,1883.18,0,4,70.8,'Low'
'COM_HWW25','ENG_O1N09','MEM_U0JIP',42,461.67,82,42,80.5,'High'
'COM_SZF48','ENG_2BOJW','MEM_W0Y1P',40,1890.71,79,32,18.5,'Medium'
'COM_E12I4','ENG_ZFQQ8','MEM_O8LPI',19,989.45,76,25,56.2,'Low'
'COM_DCNOO','ENG_JSTJX','MEM_GN7I8',6,1349.31,20,16,96.2,'Medium'
'COM_OGFVP','ENG_EZWP0','MEM_2ASQ1',29,1852.89,87,13,67.1,'Medium'
'COM_6QJT0','ENG_TMGME','MEM_K2SNQ',31,224.10,55,42,88.2,'High'
'COM_TVULO','ENG_EDB4B','MEM_MJW67',9,320.35,28,27,94.0,'Low'
'COM_T45TJ','ENG_O605Y','MEM_M9ENR',14,1431.31,57,19,89.8,'Low'
'COM_ZMOU3','ENG_4KVYV','MEM_ERTOP',33,1436.96,90,4,59.1,'Low'
'COM_2CTDE','ENG_TJ7GL','MEM_M7557',25,1458.14,12,8,87.8,'Low'
'COM_IMTTS','ENG_R3JF3','MEM_VXIKO',29,293.56,27,21,28.8,'High'
'COM_4BW44','ENG_B9ZMO','MEM_3D1Q2',1,1986.46,19,3,8.1,'Low'
'COM_ENX6I','ENG_3HXJ1','MEM_M2TSV',32,1411.93,96,10,12.4,'Low'
'COM_C1QS1','ENG_KCPOO','MEM_X9C0M',5,503.15,66,18,99.2,'Low'
'COM_PJG16','ENG_NEJMD','MEM_0W90W',26,113.71,93,45,8.4,'Low'
'COM_AI0U1','ENG_OSP6I','MEM_MIS0M',39,1335.08,28,30,64.9,'Low'
'COM_ZEA4J','ENG_TZWBH','MEM_ZVCRA',35,1931.64,87,11,36.6,'Low'
'COM_J6ZK7','ENG_95ZVX','MEM_K4N7S',16,801.16,92,11,7.2,'Low'
'COM_SUJ8U','ENG_M1PQ8','MEM_BUMYT',6,1017.51,27,36,6.3,'Low'
'COM_8NJE0','ENG_TJ6PS','MEM_AVZSR',43,517.81,1,16,27.3,'High'
'COM_2QHKM','ENG_EV46W','MEM_VTGNF',5,156.87,51,50,54.7,'Medium'
'COM_DR9YG','ENG_EX00I','MEM_LZRED',44,971.15,67,41,22.6,'Low'
'COM_YUDMF','ENG_K6CPM','MEM_37ZE5',20,1950.97,53,14,77.8,'Low'
