'PREF_DPIK','MEM_QCM5T','SOC_7GA9A','Private','Partial','Important','SMS','Opted In','Translated','Standard',1,'Rare','2025-02-06',281,3833,334,5,0.79,0.72,'Poor'
'PREF_S4J5','MEM_KGCEJ','SOC_GIW1H','Friends Only','Partial','Important','Email','Opted In','Auto','Custom',5,'Rare','2025-02-16',678,2427,315,5,0.59,0.44,'Excellent'
'PREF_0XSU','MEM_P91DJ','SOC_8ILAQ','Private','Minimal','Important','SMS','Selective','Auto','Enhanced',4,'Monthly','2025-01-25',108,1383,295,2,0.20,0.53,'Good'
'PREF_WT0Q','MEM_HVZ7O','SOC_U32T0','Public','Partial','All','SMS','Opted Out','Original','Standard',1,'Monthly','2025-02-12',535,181,312,1,0.65,0.22,'Fair'
'PREF_SZV5','MEM_A4G6Q','SOC_MTDC2','Public','Full','Important','SMS','Selective','Original','Custom',5,'Rare','2025-02-12',281,2686,106,2,0.32,0.17,'Poor'
'PREF_7ESI','MEM_Z2WHS','SOC_X3CZ8','Public','Minimal','Important','Push','Opted Out','Auto','Enhanced',3,'Monthly','2025-02-04',108,1201,110,1,0.04,0.76,'Good'
'PREF_0SJN','MEM_8QIK4','SOC_W966F','Public','Full','All','Push','Opted In','Auto','Custom',2,'Rare','2025-02-15',444,1478,101,2,0.18,0.90,'Fair'
'PREF_D8IH','MEM_GSSNJ','SOC_N0Q2U','Friends Only','Partial','All','Email','Opted In','Original','Custom',5,'Weekly','2025-02-19',50,3380,30,4,0.88,0.55,'Excellent'
'PREF_MN4A','MEM_A5CZH','SOC_Q1ZW4','Private','Partial','Important','Push','Opted Out','Auto','Custom',3,'Weekly','2025-02-19',122,4126,144,5,0.80,0.62,'Good'
'PREF_C1HM','MEM_0X7U9','SOC_I7WC2','Private','Full','Important','Push','Opted In','Original','Enhanced',5,'Monthly','2025-02-04',328,2302,6,4,0.43,0.76,'Good'
'PREF_ZRIG','MEM_SRXZJ','SOC_GEX25','Friends Only','Minimal','Important','SMS','Opted In','Translated','Enhanced',1,'Monthly','2025-02-19',695,191,244,3,0.06,0.95,'Good'
'PREF_SXQC','MEM_91964','SOC_2YS73','Private','Partial','Important','SMS','Opted Out','Original','Custom',2,'Weekly','2025-01-27',407,389,167,4,0.34,0.98,'Poor'
