'SUP_S756R','FI537855','PREF_DPIK',4,5,9,'Never','Former',8,15,1.9,0
'SUP_FMC75','FI528045','PREF_S4J5',6,1,29,'Active','Yes',4,5,3.6,0
'SUP_5KZEX','FI137526','PREF_0XSU',3,3,12,'Active','Former',9,11,3.3,8
'SUP_5TOS7','FI133051','PREF_WT0Q',8,5,19,'Occasional','Former',1,6,3.8,2
'SUP_HDGJX','FI904361','PREF_SZV5',7,9,14,'Never','Yes',18,3,2.6,6
'SUP_MFS5I','FI922707','PREF_7ESI',11,9,9,'Never','No',19,13,4.3,2
'SUP_JHMZH','FI331368','PREF_0SJN',10,7,14,'Active','No',4,2,4.3,0
'SUP_1XE0Q','FI611136','PREF_D8IH',13,2,3,'Active','Former',6,2,3.9,5
'SUP_DK1EW','FI353090','PREF_MN4A',1,7,3,'Never','No',9,14,3.8,9
'SUP_6VCB6','FI248656','PREF_C1HM',13,6,7,'Occasional','No',1,14,1.9,7
'SUP_C09BQ','FI674080','PREF_ZRIG',17,5,18,'Never','Yes',12,1,4.9,1
'SUP_PQABO','FI681291','PREF_SXQC',2,0,5,'Occasional','Former',13,10,2.7,3
'SUP_DTGUY','FI814576','PREF_0NMG',18,7,2,'Active','Yes',17,2,3.1,2
'SUP_LKT0R','FI464001','PREF_AP68',0,6,6,'Active','No',5,1,4.5,7
'SUP_9O4JJ','FI422330','PREF_NNGI',8,0,5,'Occasional','Former',8,9,4.5,0
'SUP_3AMQC','FI691886','PREF_NABN',6,8,10,'Active','Yes',3,8,2.3,7
'SUP_1DFKJ','FI894605','PREF_KGSS',14,10,27,'Never','Yes',14,0,1.8,2
'SUP_69AGB','FI646787','PREF_5V26',4,5,17,'Never','Former',16,12,3.8,7
'SUP_G66WF','FI701318','PREF_LYIB',2,9,30,'Active','Yes',8,2,2.0,6
'SUP_0AREC','FI648876','PREF_JAUC',5,10,15,'Never','Former',14,3,1.5,7
'SUP_WP1P3','FI488579','PREF_KCKR',19,0,6,'Occasional','No',11,13,3.2,1
'SUP_GBF81','FI298270','PREF_SXSZ',12,2,20,'Occasional','No',2,10,3.6,5
'SUP_MLU8G','FI119413','PREF_ONS0',20,9,26,'Active','Former',5,5,4.8,2
'SUP_Q5KUJ','FI865097','PREF_5FC2',17,3,30,'Active','No',4,7,2.1,4
'SUP_TPKCT','FI715837','PREF_D5LT',17,8,13,'Never','No',3,15,3.6,10
'SUP_VET8N','FI285712','PREF_WWZP',0,7,4,'Active','Former',7,3,4.8,5
'SUP_2E1K6','FI509217','PREF_CH9Z',14,5,2,'Active','Yes',19,0,1.2,10
'SUP_K9D5M','FI643088','PREF_LRJ5',12,4,24,'Never','Yes',1,13,1.3,2
'SUP_976LD','FI512848','PREF_XLHD',2,8,12,'Active','Former',3,13,4.5,6
